row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 10.657.188.173,"Số phải thu/tăng, giảm do hợp nhất trong năm > 7.275.238.600",Số đã thu/cấn trừ trong năm > 9.649.750.859,Số cuối năm > 8.282.675.914,numeric__Số đầu năm > 10.657.188.173,"numeric__Số phải thu/tăng, giảm do hợp nhất trong năm > 7.275.238.600",numeric__Số đã thu/cấn trừ trong năm > 9.649.750.859,numeric__Số cuối năm > 8.282.675.914
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.085.323.345,10.602.960.956,774.427.258,17.913.857.043,8085323345.0,10602960956.0,774427258.0,17913857043.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,172.899.960,1.364.881.943,95.794.437,1.441.987.466,172899960.0,1364881943.0,95794437.0,1441987466.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,32.238.797.501,(1.243.491.047),27.271.037.757,3.724.268.697,32238797501.0,-1243491047.0,27271037757.0,3724268697.0
Cộng,Cộng,Cộng,51.154.208.979,17.999.590.452,37.791.010.311,31.362.789.120,51154208979.0,17999590452.0,37791010311.0,31362789120.0
