row_label_raw,row_label_full,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá gốc,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá trị hợp lý,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Dự phòng,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá gốc,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá trị hợp lý,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Dự phòng,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá gốc,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá trị hợp lý,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Dự phòng,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá gốc,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá trị hợp lý,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Dự phòng
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,16.100.000.000,16.100.000.000,-,1.000.000.000,1.000.000.000,-,16100000000.0,16100000000.0,,1000000000.0,1000000000.0,
Cộng,Cộng,Cộng,16.100.000.000,16.100.000.000,-,1.000.000.000,1.000.000.000,-,16100000000.0,16100000000.0,,1000000000.0,1000000000.0,
"2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết",,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Dự phòng,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Dự phòng,,,,,,
Công ty cổ phần NVT Holdings,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần NVT Holdings",Công ty cổ phần NVT Holdings,267.240.000.000,226.750.594.865,-,668.100.000.000,598.066.837.818,-,267240000000.0,226750594865.0,,668100000000.0,598066837818.0,
Công ty cổ phần Đầu tư Phát triển Công nghệ TKT Land,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Đầu tư Phát triển Công nghệ TKT Land",Công ty cổ phần Đầu tư Phát triển Công nghệ TKT Land,110.323.500.000,110.323.500.000,-,-,-,-,110323500000.0,110323500000.0,,,,
Công ty cổ phần Nước sạch Bắc Giang,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Nước sạch Bắc Giang",Công ty cổ phần Nước sạch Bắc Giang,72.568.000.000,72.568.000.000,-,-,-,-,72568000000.0,72568000000.0,,,,
Công ty TNHH BOT Hùng Thắng Phú Thọ,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH BOT Hùng Thắng Phú Thọ",Công ty TNHH BOT Hùng Thắng Phú Thọ,69.000.000.000,84.478.257.018,-,69.000.000.000,82.046.902.788,-,69000000000.0,84478257018.0,,69000000000.0,82046902788.0,
Công ty cổ phần cấp nước Sài Gòn - Pleiku,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần cấp nước Sài Gòn - Pleiku",Công ty cổ phần cấp nước Sài Gòn - Pleiku,44.100.000.000,-,-,-,-,-,44100000000.0,,,,,
