row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Tổng cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,14.351.114.987,15.361.840.453,29.712.955.440,14351114987.0,15361840453.0,29712955440.0
Thuê trong năm,NGUYÊN GIÁ > Thuê trong năm,Thuê trong năm,21.796.312.999,65.232.054.217,87.028.367.216,21796312999.0,65232054217.0,87028367216.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,327.051.593.496,14.425.133.159,341.476.726.655,327051593496.0,14425133159.0,341476726655.0
Mua lại TSCĐ thuê tài chính,NGUYÊN GIÁ > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,(34.853.485.098),(14.957.767.727),(49.811.252.825),-34853485098.0,-14957767727.0,-49811252825.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(15.230.744.617),-,(15.230.744.617),-15230744617.0,,-15230744617.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,313.114.791.767,80.061.260.102,393.176.051.869,313114791767.0,80061260102.0,393176051869.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.816.322.022,3.793.337.964,5.609.659.986,1816322022.0,3793337964.0,5609659986.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,6.018.351.041,3.142.296.303,9.160.647.344,6018351041.0,3142296303.0,9160647344.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,62.115.027.675,2.593.963.946,64.708.991.621,62115027675.0,2593963946.0,64708991621.0
Mua lại TSCĐ thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,(10.459.184.237),(5.185.739.130),(15.644.923.367),-10459184237.0,-5185739130.0,-15644923367.0
Giảm do thoái vốn tại Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(3.257.008.210),-,(3.257.008.210),-3257008210.0,,-3257008210.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,56.233.508.291,4.343.859.083,60.577.367.374,56233508291.0,4343859083.0,60577367374.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,12.534.792.965,11.568.502.489,24.103.295.454,12534792965.0,11568502489.0,24103295454.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,256.881.283.476,75.717.401.019,332.598.684.495,256881283476.0,75717401019.0,332598684495.0
