row_label_raw,row_label_full,Các bên cho vay,Vay ngắn hạn,Vay ngắn hạn_1,Vay dài hạn,Vay dài hạn_1,Vay dài hạn_2,Vay dài hạn_3,Vay dài hạn_4,numeric__Vay ngắn hạn,numeric__Vay ngắn hạn_1,numeric__Vay dài hạn,numeric__Vay dài hạn_1,numeric__Vay dài hạn_2,numeric__Vay dài hạn_3,numeric__Vay dài hạn_4
Các bên cho vay,Các bên cho vay,Các bên cho vay,Số dư,Lãi suất/năm(gồm lãi suấtvay dài hạnđến hạn trả),Số dư vay dài hạnđến hạn trả,Số dư vay dài hạn,Tổng số dư,Lãi suất/năm,Kỳ hạn,,,,,,,
Ngân hàng,Các bên cho vay > Ngân hàng,Ngân hàng,8.036.793.720.531,,836.529.584.216,8.893.952.284.753,9.730.481.868.969,,,8036793720531.0,,836529584216.0,8893952284753.0,9730481868969.0,,
Ngân hàng TMCP Côngthương Việt Nam,Các bên cho vay > Ngân hàng TMCP Côngthương Việt Nam,Ngân hàng TMCP Côngthương Việt Nam,2.424.146.165.703,3% - 8%,246.442.391.589,2.356.728.526.908,2.603.170.918.497,"5,8% - 10%",36 - 180 tháng,2424146165703.0,,246442391589.0,2356728526908.0,2603170918497.0,,
Ngân hàng Phát triểnViệt Nam,Các bên cho vay > Ngân hàng Phát triểnViệt Nam,Ngân hàng Phát triểnViệt Nam,10.000.000.000,"6,92%",231.935.264.646,135.614.008.906,367.549.273.552,"6,5% - 9%",107 - 300 tháng,10000000000.0,0.0692,231935264646.0,135614008906.0,367549273552.0,,
Ngân hàng TMCP Đầutur và Phát triển Việt Nam,Các bên cho vay > Ngân hàng TMCP Đầutur và Phát triển Việt Nam,Ngân hàng TMCP Đầutur và Phát triển Việt Nam,1.468.445.260.881,"4,1% - 7,1%",149.413.149.474,1.762.575.896.247,1.911.989.045.721,"6,2% - 9,1%",48 - 234 tháng,1468445260881.0,,149413149474.0,1762575896247.0,1911989045721.0,,
Ngân hàng TMCP Ngoạithương Việt Nam,Các bên cho vay > Ngân hàng TMCP Ngoạithương Việt Nam,Ngân hàng TMCP Ngoạithương Việt Nam,1.491.113.578.466,"3% - 6,8%",73.949.026.781,2.213.249.662.684,2.287.198.689.465,"5,8% - 8,8%",36 - 216 tháng,1491113578466.0,,73949026781.0,2213249662684.0,2287198689465.0,,
Ngân hàng TMCP ViệtNam Thịnh Vượng,Các bên cho vay > Ngân hàng TMCP ViệtNam Thịnh Vượng,Ngân hàng TMCP ViệtNam Thịnh Vượng,231.495.117.403,"6,5% - 9,5%",4.392.300.000,13.285.133.334,17.677.433.334,"7,1% - 9,9%",48 - 120 tháng,231495117403.0,,4392300000.0,13285133334.0,17677433334.0,,
Ngân hàng TMCP Quânđội,Các bên cho vay > Ngân hàng TMCP Quânđội,Ngân hàng TMCP Quânđội,326.799.297.366,"5,2% - 10%",7.467.054.542,545.514.389.487,552.981.444.029,"9,5% - 10,17%",48 - 120 tháng,326799297366.0,,7467054542.0,545514389487.0,552981444029.0,,
Ngân hàng TMCP TiênPhong,Các bên cho vay > Ngân hàng TMCP TiênPhong,Ngân hàng TMCP TiênPhong,502.253.675.667,"6,15% - 8,8%",21.625.000.000,102.718.750.000,124.343.750.000,"11,00%",96 tháng,502253675667.0,,21625000000.0,102718750000.0,124343750000.0,0.11,
Ngân hàng TMCP Quốctế Việt Nam,Các bên cho vay > Ngân hàng TMCP Quốctế Việt Nam,Ngân hàng TMCP Quốctế Việt Nam,301.124.759.290,"5,5% - 7,8%",-,-,-,,,301124759290.0,,,,,,
Ngân hàng TNHH MTVShinhan Việt Nam,Các bên cho vay > Ngân hàng TNHH MTVShinhan Việt Nam,Ngân hàng TNHH MTVShinhan Việt Nam,5.142.214.000,"4,68%",10.589.834.484,7.222.917.187,17.812.751.671,"6,68% - 8,2%",48 - 60 tháng,5142214000.0,0.046799999999999994,10589834484.0,7222917187.0,17812751671.0,,
Ngân hàng TMCP Thịnhvượng và Phát triển,Các bên cho vay > Ngân hàng TMCP Thịnhvượng và Phát triển,Ngân hàng TMCP Thịnhvượng và Phát triển,85.983.395.750,"5,3% - 7%",-,-,-,,,85983395750.0,,,,,,
Ngân hàng TMCP Á Châu,Các bên cho vay > Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,391.260.119.500,5% - 7%,-,-,-,,,391260119500.0,,,,,,
Ngân hàng TMCP SàiGòn Hà Nội,Các bên cho vay > Ngân hàng TMCP SàiGòn Hà Nội,Ngân hàng TMCP SàiGòn Hà Nội,75.230.834.223,"6,5% - 11,9%",45.733.000.000,1.757.043.000.000,1.802.776.000.000,"10,3% - 11,2%",120 tháng,75230834223.0,,45733000000.0,1757043000000.0,1802776000000.0,,
Ngân hàng TNHH MTVUnited Overseas Bank(Việt Nam),Các bên cho vay > Ngân hàng TNHH MTVUnited Overseas Bank(Việt Nam),Ngân hàng TNHH MTVUnited Overseas Bank(Việt Nam),201.742.181.446,"5,4% - 6,25%",-,-,-,,,201742181446.0,,,,,,
