row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.776.321.761.158,7.264.828.497.628,580.370.029.517,413.459.548.455,10.034.979.836.758,1776321761158.0,7264828497628.0,580370029517.0,413459548455.0,10034979836758.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.143.100.039,30.021.435.941,25.152.729.373,18.962.771.911,80.280.037.264,6143100039.0,30021435941.0,25152729373.0,18962771911.0,80280037264.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,48.116.374.933,196.081.093.776,12.871.588.908,5.889.569.551,262.958.627.168,48116374933.0,196081093776.0,12871588908.0,5889569551.0,262958627168.0
Chuyển sang xây dựng cơ bản dở dang,Nguyên giá > Chuyển sang xây dựng cơ bản dở dang,Chuyển sang xây dựng cơ bản dở dang,-,(14.749.965.952),-,-,(14.749.965.952),,-14749965952.0,,,-14749965952.0
Chuyển sang đầu tư vào một công ty con,Nguyên giá > Chuyển sang đầu tư vào một công ty con,Chuyển sang đầu tư vào một công ty con,-,(35.084.216.424),-,-,(35.084.216.424),,-35084216424.0,,,-35084216424.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,161.512.005,(161.512.005),-,-,-,161512005.0,-161512005.0,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(600.885.151),(16.422.280.214),(8.109.915.982),(1.011.331.831),(26.144.413.178),-600885151.0,-16422280214.0,-8109915982.0,-1011331831.0,-26144413178.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,(199.266.000),(199.266.000),,,,-199266000.0,-199266000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.830.141.862.984,7.424.513.052.750,610.284.431.816,437.101.292.086,10.302.040.639.636,1830141862984.0,7424513052750.0,610284431816.0,437101292086.0,10302040639636.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,355.336.235.822,2.710.692.539.601,211.687.161.072,224.807.040.812,3.502.522.977.307,355336235822.0,2710692539601.0,211687161072.0,224807040812.0,3502522977307.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,80.220.850.644,665.698.053.641,53.151.529.175,56.494.390.548,855.564.824.008,80220850644.0,665698053641.0,53151529175.0,56494390548.0,855564824008.0
Chuyển sang xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế > Chuyển sang xây dựng cơ bản dở dang,Chuyển sang xây dựng cơ bản dở dang,-,(12.166.169.645),-,-,(12.166.169.645),,-12166169645.0,,,-12166169645.0
Chuyển sang đầu tư vào một công ty con,Giá trị hao mòn lũy kế > Chuyển sang đầu tư vào một công ty con,Chuyển sang đầu tư vào một công ty con,-,(25.715.152.041),-,-,(25.715.152.041),,-25715152041.0,,,-25715152041.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,4.894.304,(4.894.304),-,-,-,4894304.0,-4894304.0,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(513.578.188),(12.715.251.945),(5.944.595.029),(1.011.331.831),(20.184.756.993),-513578188.0,-12715251945.0,-5944595029.0,-1011331831.0,-20184756993.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,(199.266.000),(199.266.000),,,,-199266000.0,-199266000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,435.048.402.582,3.325.789.125.307,258.894.095.218,280.090.833.529,4.299.822.456.636,435048402582.0,3325789125307.0,258894095218.0,280090833529.0,4299822456636.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.420.985.525.336,4.554.135.958.027,368.682.868.445,188.652.507.643,6.532.456.859.451,1420985525336.0,4554135958027.0,368682868445.0,188652507643.0,6532456859451.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.395.093.460.402,4.098.723.927.443,351.390.336.598,157.010.458.557,6.002.218.183.000,1395093460402.0,4098723927443.0,351390336598.0,157010458557.0,6002218183000.0
