row_label_raw,row_label_full,col_0,2014VND(phân loại lại),2014VND(theo báo cáotrước đây),numeric__2014VND(phân loại lại),numeric__2014VND(theo báo cáotrước đây)
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,32.553.599.615.230,33.068.937.469.256,32553599615230.0,33068937469256.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,65.960.058.013,677.713.289.636,65960058013.0,677713289636.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,21.682.211.734.796,20.669.829.791.908,21682211734796.0,20669829791908.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,3.344.958.715.459,4.356.702.582.567,3344958715459.0,4356702582567.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,204.222.352.574,300.637.730.171,204222352574.0,300637730171.0
