row_label_raw,row_label_full,col_0,2015VND,2014VND,numeric__2015VND,numeric__2014VND
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,525.480.839.066,473.365.396.409,525480839066.0,473365396409.0
Lãi trái phiếu doanh nghiệp,Lãi trái phiếu doanh nghiệp,Lãi trái phiếu doanh nghiệp,27.693.150.666,11.682.191.784,27693150666.0,11682191784.0
Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,71.324.036.261,34.606.180.713,71324036261.0,34606180713.0
Cổ tức,Cổ tức,Cổ tức,15.145.102.599,25.810.845.600,15145102599.0,25810845600.0
Lãi thanh lý chứng khoán,Lãi thanh lý chứng khoán,Lãi thanh lý chứng khoán,77.215.600,35.816.124.708,77215600.0,35816124708.0
Khác,Khác,Khác,63.648.442,-,63648442.0,
,,,639.783.992.634,581.280.739.214,639783992634.0,581280739214.0
