row_label_raw,row_label_full,col_0,Dự phòng trợ cấp thời việc VND,numeric__Dự phòng trợ cấp thời việc VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,77.107.794.500,77107794500.0
Tăng dự phòng trong năm,Tăng dự phòng trong năm,Tăng dự phòng trong năm,11.622.321.332,11622321332.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(1.630.385.832),-1630385832.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,87.099.730.000,87099730000.0
