row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chi phítrả trước khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chi phítrả trước khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.419.837.879,86.292.281.445,66.449.413.299,157.161.532.623,4419837879.0,86292281445.0,66449413299.0,157161532623.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,5.473.814.345,70.510.204.301,26.246.737.700,102.230.756.346,5473814345.0,70510204301.0,26246737700.0,102230756346.0
Phân loại lại (*),Phân loại lại (*),Phân loại lại (*),109.806.587.880,-,-,109.806.587.880,109806587880.0,,,109806587880.0
Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,8.107.019.200,37.800.000,11.423.950.005,19.568.769.205,8107019200.0,37800000.0,11423950005.0,19568769205.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(9.705.372.959),(50.188.540.875),(49.971.336.215),(109.865.250.049),-9705372959.0,-50188540875.0,-49971336215.0,-109865250049.0
Giảm khác,Giảm khác,Giảm khác,(114.505.958),-,-,(114.505.958),-114505958.0,,,-114505958.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,117.987.380.387,106.651.744.871,54.148.764.789,278.787.890.047,117987380387.0,106651744871.0,54148764789.0,278787890047.0
