row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Địa chỉ,col_2,% vốn sở hữu,% quyền biểu quyết,Giá gốc VND,Giá trị hợp lý VND,Dự phòng giảm giá VND,numeric__Địa chỉ,numeric__col_2,numeric__% vốn sở hữu,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Giá trị hợp lý VND,numeric__Dự phòng giảm giá VND
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,,,,,,
▪ Miraka Limited,Các công ty liên kết > ▪ Miraka Limited,▪ Miraka Limited,"109 Tuwharetoa, Taupo, New Zealand",,"22,81%","22,81%",293.189.808.669,(*),-,,,0.2281,0.2281,293189808669.0,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Các công ty liên kết > ▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,"Lô C-9E-CN, Khu Công nghiệp (**)",,"15,00%","15,00%",18.000.000.000,(*),-,,,0.15,0.15,18000000000.0,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,"Mỹ Phước 3, Huyện Bến Cát, Tinh Bình Dương, Việt Nam",,,,,,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn > ▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,,,,,311.189.808.669,,-,,,,,311189808669.0,,
Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,,,,,,,
▪ Quỹ đầu tư tăng trưởng Việt Nam,Khác > ▪ Quỹ đầu tư tăng trưởng Việt Nam,▪ Quỹ đầu tư tăng trưởng Việt Nam,"Melinh Point Tower, 2 Ngô Đức Kế, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,,,10.270.276.240,(*),(4.740.126.948),,,,,10270276240.0,,-4740126948.0
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,"184-186-188 Nguyễn Đình Chiều, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,,,300.000.000,(*),-,,,,,300000000.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,,,,,,,,,,,,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,,,,10.570.276.240,,(4.740.126.948),,,,,10570276240.0,,-4740126948.0
▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,,,,2.821.816.669.602,,(102.785.399.217),,,,,2821816669602.0,,-102785399217.0
