row_label_raw,row_label_full,col_0,1/1/2015VND(phân loại lại),1/1/2015VND(theo báo cáotrước đây),numeric__1/1/2015VND(phân loại lại),numeric__1/1/2015VND(theo báo cáotrước đây)
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,703.771.306.426,-,703771306426.0,
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,-,7.553.771.306.426,,7553771306426.0
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,6.850.000.000.000,-,6850000000000.0,
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,349.123.850.343,350.794.021.307,349123850343.0,350794021307.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,3.751.179.217,-,3751179217.0,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,2.081.008.253,,2081008253.0
Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,7.395.303.671,-,7395303671.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,8.229.988.026,7.395.303.671,8229988026.0,7395303671.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,284.106.071.554,-,284106071554.0,
Đầu tư vào các công ty liên kết và liên doanh,Đầu tư vào các công ty liên kết và liên doanh,Đầu tư vào các công ty liên kết và liên doanh,231.028.307.770,238.275.992.596,231028307770.0,238275992596.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,357.455.408.600,,357455408600.0
Đầu tư vốn góp vào các đơn vị khác,Đầu tư vốn góp vào các đơn vị khác,Đầu tư vốn góp vào các đơn vị khác,10.859.408.600,-,10859408600.0,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,346.596.000.000,-,346596000000.0,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,-,982.303.200,,982303200.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,603.190.794.539,607.313.677.302,603190794539.0,607313677302.0
Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,-,77.107.794.500,,77107794500.0
Dự phòng ngắn hạn,Dự phòng ngắn hạn,Dự phòng ngắn hạn,4.122.882.763,-,4122882763.0,
Dự phòng dài hạn,Dự phòng dài hạn,Dự phòng dài hạn,77.107.794.500,-,77107794500.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,2.521.718.366.944,1.550.028.784.604,2521718366944.0,1550028784604.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,971.689.582.340,,971689582340.0
