row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Mối quan hệ > Công ty con,Loại giao dịch > Bán hàng hóa và tài sản cố địnhMua hàng hóaGóp vốn,2015 VND > 288.309.946.472450.819.329.801496.000.000.000,2014 VND > 62.463.090.774371.893.760.198117.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Loại giao dịch > Bán hàng hóa và tài sản cố địnhMua hàng hóaGóp vốn,numeric__2015 VND > 288.309.946.472450.819.329.801496.000.000.000,numeric__2014 VND > 62.463.090.774371.893.760.198117.000.000.000
Công ty TNHH Một Thành viên Sữa Lam Sơn,Công ty TNHH Một Thành viên Sữa Lam Sơn,Công ty TNHH Một Thành viên Sữa Lam Sơn,Công ty con,Bán hàng hóa và tài sản cố địnhMua hàng hóaGóp vốn,314.472.877.488581.895.267.178-,221.935.595.529383.344.603.418280.000.000.000,,,,2.2193559552938336e+35
Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Bán hàng hóa và tài sản cố địnhMua hàng hóaGóp vốn,1.951.304.853-56.000.000.000,36.363.63617.000.00013.500.000.000,,,,3.636363617e+26
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán hàng hóa và tài sản cố địnhGóp vốn,56.709.276.534109.952.822.193,1.262.642.956107.918.932.500,,,5.670927653410995e+22,1.2626429561079189e+21
Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,Công ty con,Mua hàng hóa,1.285.710.408,246.235.695,,,1285710408.0,246235695.0
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Công ty con,Mua hàng hóaGóp vốn,735.340.773.581-,80.574.918.0389.834.270.000,,,,8.057491803898342e+20
Miraka Limited,Miraka Limited,Miraka Limited,Công ty liên kết,Mua hàng hóaGóp vốn,456.404.881.49680.161.500.899,282.968.330.700-,,,4.564048814968016e+22,
Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Công ty liên kết,Bán hàng hóa và dịch vụ,523.158.947,11.024.603.438,,,523158947.0,11024603438.0
Thành viên Hội đồng Quản trị và Ban Điều hành,Thành viên Hội đồng Quản trị và Ban Điều hành,Thành viên Hội đồng Quản trị và Ban Điều hành,,Thù lao,67.282.713.861,60.064.426.741,,,67282713861.0,60064426741.0
Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Cổ đông,Cổ tức công bố,2.705.270.400.000,1.502.928.000.000,,,2705270400000.0,1502928000000.0
