row_label_raw,row_label_full,Khoản mục,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty TNHH C.E.O Quốc tế,Công ty CP Đầu tư BMC - CEO,Công ty Cổ phần Du lịch C.E.O,Công ty CP Phát triển Nhà và Đô thị Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Nha Trang,Đơn vị tính: VND Cộng,numeric__Công ty CP Đầu tư và Phát triển Phú Quốc,numeric__Công ty TNHH C.E.O Quốc tế,numeric__Công ty CP Đầu tư BMC - CEO,numeric__Công ty Cổ phần Du lịch C.E.O,numeric__Công ty CP Phát triển Nhà và Đô thị Phú Quốc,numeric__Công ty Cổ phần Đầu tư và Phát triển Nha Trang,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư ngày 01/01/2018,Nguyên giá > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,-,235.515.577.241,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,,235515577241.0
Tăng do mua Công ty con,Nguyên giá > Tăng do mua Công ty con,Tăng do mua Công ty con,-,-,-,-,-,45.859.856.714,45.859.856.714,,,,,,45859856714.0,45859856714.0
Số dư ngày 31/12/2018,Nguyên giá > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,45.859.856.714,281.375.433.955,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,45859856714.0,281375433955.0
Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,Giá trị phân bổ luỹ kế,,,,,,,
Số dư ngày 01/01/2018,Giá trị phân bổ luỹ kế > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,56.290.357.146,2.351.988.000,8.210.121.619,44.622.197,14.914.484.552,-,81.811.573.514,56290357146.0,2351988000.0,8210121619.0,44622197.0,14914484552.0,,81811573514.0
Phân bổ trong năm,Giá trị phân bổ luỹ kế > Phân bổ trong năm,Phân bổ trong năm,11.246.214.288,391.998.000,2.736.707.208,-,12.783.843.900,4.585.709.040,31.744.472.436,11246214288.0,391998000.0,2736707208.0,,12783843900.0,4585709040.0,31744472436.0
Số dư ngày 31/12/2018,Giá trị phân bổ luỹ kế > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,67.536.571.434,2.743.986.000,10.946.828.827,44.622.197,27.698.328.452,4.585.709.040,113.556.045.950,67536571434.0,2743986000.0,10946828827.0,44622197.0,27698328452.0,4585709040.0,113556045950.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Tại ngày 01/01/2018,Giá trị còn lại > Tại ngày 01/01/2018,Tại ngày 01/01/2018,33.738.642.854,1.567.992.000,5.473.414.413,-,112.923.954.460,-,153.704.003.727,33738642854.0,1567992000.0,5473414413.0,,112923954460.0,,153704003727.0
Tại ngày 31/12/2018,Giá trị còn lại > Tại ngày 31/12/2018,Tại ngày 31/12/2018,22.492.428.566,1.175.994.000,2.736.707.205,-,100.140.110.560,41.274.147.674,167.819.388.005,22492428566.0,1175994000.0,2736707205.0,,100140110560.0,41274147674.0,167819388005.0
