row_label_raw,row_label_full,c) Các khoản nợ thue tài chính,Năm 2018,Năm 2018_1,Năm 2018_2,Từ 17/10/2017 đến 31/12/2017,Từ 17/10/2017 đến 31/12/2017_1,Từ 17/10/2017 đến 31/12/2017_2,numeric__Năm 2018,numeric__Năm 2018_1,numeric__Năm 2018_2,numeric__Từ 17/10/2017 đến 31/12/2017,numeric__Từ 17/10/2017 đến 31/12/2017_1,numeric__Từ 17/10/2017 đến 31/12/2017_2
c) Các khoản nợ thue tài chính,c) Các khoản nợ thue tài chính,c) Các khoản nợ thue tài chính,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,,,,,,
Trên 1 năm đến 5 năm,c) Các khoản nợ thue tài chính > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,,3.188.203.931,680.228.927,2.507.975.004,84.610.134,65.168.467,,3188203931.0,680228927.0,2507975004.0,84610134.0,65168467.0
