row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6
"Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình",,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư ngày 01/01/2018,Nguyên giá > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,1.166.573.068.438,45.047.495.894,42.945.161.362,7.135.040.888,473.811.282,1.262.174.577.864,1166573068438.0,45047495894.0,42945161362.0,7135040888.0,473811282.0,1262174577864.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,498.692.272,8.678.643.517,11.330.589.092,971.765.272,1.593.710.001,23.073.400.154,498692272.0,8678643517.0,11330589092.0,971765272.0,1593710001.0,23073400154.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,16.326.693.487,-,-,-,-,16.326.693.487,16326693487.0,,,,,16326693487.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(191.824.800),-,-,-,-,(191.824.800),-191824800.0,,,,,-191824800.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.294.667.334,1.073.239.817,(1.840.466.314),(3.775.772.690),3.248.331.853,-,1294667334.0,1073239817.0,-1840466314.0,-3775772690.0,3248331853.0,
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,1.469.075.048,-,-,-,-,1.469.075.048,1469075048.0,,,,,1469075048.0
Số dư ngày 31/12/2018,Nguyên giá > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,1.185.970.371.779,54.799.379.228,52.435.284.140,4.331.033.470,5.315.853.136,1.302.851.921.753,1185970371779.0,54799379228.0,52435284140.0,4331033470.0,5315853136.0,1302851921753.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,,,
Số dư ngày 01/01/2018,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,58.638.503.975,13.078.184.979,14.502.204.167,2.686.914.942,473.811.282,89.379.619.345,58638503975.0,13078184979.0,14502204167.0,2686914942.0,473811282.0,89379619345.0
