row_label_raw,row_label_full,Khoản mục,01/01/2018,Tăng trong năm,Giảm trong năm,Đơn vị tính: VND31/12/2018,numeric__01/01/2018,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Đơn vị tính: VND31/12/2018
Bắt động sản đầu tư cho thuê,Bắt động sản đầu tư cho thuê,Bắt động sản đầu tư cho thuê,Bắt động sản đầu tư cho thuê,Bắt động sản đầu tư cho thuê,Bắt động sản đầu tư cho thuê,Bắt động sản đầu tư cho thuê,,,,
Nguyên giá,Bắt động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,172.459.187.371,51.400.350.759,-,223.859.538.130,172459187371.0,51400350759.0,,223859538130.0
- Quyền sử dụng đất,Bắt động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,3.407.568.000,-,,3.407.568.000,3407568000.0,,,3407568000.0
- Nhà cửa vật kiến trúc,Bắt động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,169.051.619.371,51.400.350.759,-,220.451.970.130,169051619371.0,51400350759.0,,220451970130.0
Giá trị hao mòn luỹ kế,Bắt động sản đầu tư cho thuê > Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,31.390.824.400,3.937.817.333,-,35.328.641.733,31390824400.0,3937817333.0,,35328641733.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,-,-,-,,,,,
- Nhà và quyền sử dụng đất,- Quyền sử dụng đất > - Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,31.390.824.400,3.937.817.333,,35.328.641.733,31390824400.0,3937817333.0,,35328641733.0
Giá trị còn lại,- Quyền sử dụng đất > Giá trị còn lại,Giá trị còn lại,141.068.362.971,,,188.530.896.397,141068362971.0,,,188530896397.0
- Quyền sử dụng đất,- Quyền sử dụng đất > - Quyền sử dụng đất,- Quyền sử dụng đất,3.407.568.000,,,3.407.568.000,3407568000.0,,,3407568000.0
- Nhà và quyền sử dụng đất,- Quyền sử dụng đất > - Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,137.660.794.971,,,185.123.328.397,137660794971.0,,,185123328397.0
