row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,Thuyết minh,Năm 2018,Đơn vị tính: VND Năm 2017,numeric__Chỉ tiêu_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2018,numeric__Đơn vị tính: VND Năm 2017
1,1,1,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1.,2.246.237.955.258,1.832.798.695.679,,1.0,,2246237955258.0,1832798695679.0
2,2,2,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3,3,3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10=01-02),10,,2.246.237.955.258,1.832.798.695.679,,10.0,,2246237955258.0,1832798695679.0
4,4,4,Giá vốn hàng bán,11,VI.2.,1.390.960.786.519,1.108.712.650.495,,11.0,,1390960786519.0,1108712650495.0
5,5,5,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,855.277.168.739,724.086.045.184,,20.0,,855277168739.0,724086045184.0
6,6,6,Doanh thu hoạt động tài chính,21,VI.3.,76.983.573.893,32.200.345.395,,21.0,,76983573893.0,32200345395.0
7,7,7,Chi phí tài chính,22,VI.4.,140.189.874.051,124.371.032.813,,22.0,,140189874051.0,124371032813.0
7,7,7,Trong đó: Chi phí lãi vay,23,,117.857.666.994,124.307.356.763,,23.0,,117857666994.0,124307356763.0
8,8,8,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9,9,9,Chi phí bán hàng,25,VI.7.,60.902.502.572,36.896.437.667,,25.0,,60902502572.0,36896437667.0
10,10,10,Chi phí quản lý doanh nghiệp,26,VI.7.,241.629.255.790,197.033.008.898,,26.0,,241629255790.0,197033008898.0
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)+24-(25+26)},30,,489.539.110.219,397.985.911.201,,30.0,,489539110219.0,397985911201.0
12,12,12,Thu nhập khác,31,VI.5.,48.938.980.456,9.692.637.612,,31.0,,48938980456.0,9692637612.0
13,13,13,Chi phí khác,32,VI.6.,35.636.378.704,927.166.020,,32.0,,35636378704.0,927166020.0
14,14,14,Lợi nhuận khác (40=31-32),40,,13.302.601.752,8.765.471.592,,40.0,,13302601752.0,8765471592.0
15,15,15,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,502.841.711.971,406.751.382.793,,50.0,,502841711971.0,406751382793.0
16,16,16,Chi phí thuế TNDN hiện hành,51,,135.310.062.050,89.406.194.119,,51.0,,135310062050.0,89406194119.0
17,17,17,Chi phí thuế TNDN hoãn lại,52,,(4.545.878.055),(3.815.196.496),,52.0,,-4545878055.0,-3815196496.0
18,18,18,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,372.077.527.976,321.160.385.170,,60.0,,372077527976.0,321160385170.0
19,19,19,Lợi nhuận sau thuế của cổ đông công ty mẹ,61,,223.231.507.253,177.650.063.642,,61.0,,223231507253.0,177650063642.0
20,20,20,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,148.846.020.723,143.510.321.528,,62.0,,148846020723.0,143510321528.0
21,21,21,Lãi cơ bản trên cổ phiếu,70,VI.10.,"1.373,47","1.346,30",,70.0,,1373.47,1346.3
