row_label_raw,row_label_full,Xử lý công nợ do không rõ đối tượng,4.438.016.516,-,numeric__4.438.016.516,numeric__-
Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,60.834.829,-,60834829.0,
Thu nhập từ tiền phạt vi phạm hợp đồng,Thu nhập từ tiền phạt vi phạm hợp đồng,Thu nhập từ tiền phạt vi phạm hợp đồng,19.318.394.889,7.875.985.377,19318394889.0,7875985377.0
Hoàn nhập báo hành công trình,Hoàn nhập báo hành công trình,Hoàn nhập báo hành công trình,622.203.850,-,622203850.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,612.986.372,524.749.094,612986372.0,524749094.0
Cộng,Cộng,Cộng,48.938.980.456,9.692.637.612,48938980456.0,9692637612.0
