row_label_raw,row_label_full,7. > 8. > 9.,Công ty Cổ phần Du lịch C.E.O > Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc > Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,"Tầng 2, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam > Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, ấp Đường Bảo, Xã Dương Tơ, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam","Cung cấp dịch vụ nhà hàng ăn uống, tổ chức tour du lịch, ... > Kinh doanh bất động sản, quyền sử dụng đất, ... > Nhà hàng, dịch vụ lưu trú ngắn ngày, ...","51% > 51,59% > 100%","51% > 51,59% > 100%_1","51% > 51,59% > 100%_2",numeric__Công ty Cổ phần Du lịch C.E.O > Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc > Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,"numeric__Tầng 2, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam > Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, ấp Đường Bảo, Xã Dương Tơ, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam","numeric__Cung cấp dịch vụ nhà hàng ăn uống, tổ chức tour du lịch, ... > Kinh doanh bất động sản, quyền sử dụng đất, ... > Nhà hàng, dịch vụ lưu trú ngắn ngày, ...","numeric__51% > 51,59% > 100%","numeric__51% > 51,59% > 100%_1","numeric__51% > 51,59% > 100%_2"
10.,10.,10.,Công ty Cổ phần Đầu tư và Phát triển du lịch Vân Đồng,"Khu du lịch sinh thái Bái Từ Long, xã Hạ Long, huyện Vân Đồng, tỉnh Quảng Ninh",Đầu tư và Phát triển du lịch,65%,65%,65%,,,,0.65,0.65,0.65
11.,11.,11.,Công ty Cổ phần Đầu tư và Phát triển Nha Trang,"134 Phan Vinh, Phường Vĩnh Nguyên, Thành phố Nha Trang, tỉnh Khánh Hòa, Việt Nam","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",51%,51%,51%,,,,0.51,0.51,0.51
12.,12.,12.,Công ty CP Đầu tư và Phát triển Nam Cần Thơ (i),"Số 88 đường Huỳnh Cương, Phường An Cư, Quận Ninh Kiều, Thành phố Cần Thơ","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",99%,99%,99%,,,,0.99,0.99,0.99
13.,13.,13.,Công ty TNHH MTV Tư vấn và Thiết kế C.E.O,"Tầng 3, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","Tư vấn lập quy hoạch xây dựng; Thiết kế, thẩm tra thiết kế xây dựng công trình",100%,100%,100%,,,,1.0,1.0,1.0
