row_label_raw,row_label_full,Công ty vay trong năm,Năm 2018VND > Công ty vay trong năm,Năm 2017VND > Công ty vay trong năm,numeric__Năm 2018VND > Công ty vay trong năm,numeric__Năm 2017VND > Công ty vay trong năm
Đoàn Tiến Trung,Đoàn Tiến Trung,Đoàn Tiến Trung,-,200.000.000,,200000000.0
Tạ Văn Tổ,Tạ Văn Tổ,Tạ Văn Tổ,1.179.702.837,-,1179702837.0,
Trả vay trong năm,Trả vay trong năm,Trả vay trong năm,Trả vay trong năm,Trả vay trong năm,,
Đoàn Tiến Trung,Trả vay trong năm > Đoàn Tiến Trung,Đoàn Tiến Trung,-,200.000.000,,200000000.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,,
Đoàn Tiến Trung,Cổ tức nhận được > Đoàn Tiến Trung,Đoàn Tiến Trung,28.395.637.568,21.360.000.000,28395637568.0,21360000000.0
Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,,
Đoàn Tiến Trung,Chi phí lãi vay phải trả > Đoàn Tiến Trung,Đoàn Tiến Trung,-,2.666.667,,2666667.0
Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,31/12/2018VND,01/01/2018VND,,
Tạm ứng,Tạm ứng,Tạm ứng,Tạm ứng,Tạm ứng,,
Đoàn Tiến Trung,Tạm ứng > Đoàn Tiến Trung,Đoàn Tiến Trung,-,6.985.000.000,,6985000000.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,
Đoàn Tiến Trung,Phải trả khác > Đoàn Tiến Trung,Đoàn Tiến Trung,21.323.844.672,21.360.000.000,21323844672.0,21360000000.0
