row_label_raw,row_label_full,Khoản mục,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư ngày 01/01/2018,Nguyên giá > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Số dư ngày 31/12/2018,Nguyên giá > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,
Số dư ngày 01/01/2018,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,28.817.843,28.817.843,28817843.0,28817843.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,2.144.047.608,2.144.047.608,2144047608.0,2144047608.0
Số dư ngày 31/12/2018,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,2.172.865.451,2.172.865.451,2172865451.0,2172865451.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày 01/01/2018,Giá trị còn lại > Tại ngày 01/01/2018,Tại ngày 01/01/2018,10.575.727.611,10.575.727.611,10575727611.0,10575727611.0
Tại ngày 31/12/2018,Giá trị còn lại > Tại ngày 31/12/2018,Tại ngày 31/12/2018,8.431.680.003,8.431.680.003,8431680003.0,8431680003.0
