row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị ghi sổ,31/12/2018 > Giá trị hợp lý,31/12/2018 > Dự phòng,01/01/2018 > Giá trị ghi sổ,01/01/2018 > Giá trị hợp lý,01/01/2018 > Dự phòng,numeric__31/12/2018 > Giá trị ghi sổ,numeric__31/12/2018 > Giá trị hợp lý,numeric__31/12/2018 > Dự phòng,numeric__01/01/2018 > Giá trị ghi sổ,numeric__01/01/2018 > Giá trị hợp lý,numeric__01/01/2018 > Dự phòng
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,24.400.000,-,(24.400.000),24.400.000,-,(24.400.000),24400000.0,,-24400000.0,24400000.0,,-24400000.0
Tổng giá trị cổ phiếu,Tổng giá trị cổ phiếu,Tổng giá trị cổ phiếu,24.400.000,-,(24.400.000),24.400.000,-,(24.400.000),24400000.0,,-24400000.0,24400000.0,,-24400000.0
Cổ phiếu Công ty CP Cà Phê An Giang - Mã AGC,Cổ phiếu Công ty CP Cà Phê An Giang - Mã AGC,Cổ phiếu Công ty CP Cà Phê An Giang - Mã AGC,24.400.000,-,(24.400.000),24.400.000,-,(24.400.000),24400000.0,,-24400000.0,24400000.0,,-24400000.0
- Số lượng: 4.000 cổ phiếu,- Số lượng: 4.000 cổ phiếu,- Số lượng: 4.000 cổ phiếu,,,,,,,,,,,,
b) Đầu tư nắm giữ đến ngày đáo hạn,b) Đầu tư nắm giữ đến ngày đáo hạn,b) Đầu tư nắm giữ đến ngày đáo hạn,,,,,,Đơn vị tính: VND,,,,,,
,,,,,31/12/2018,31/12/2018,01/01/2018,01/01/2018,,,,,,
,,,,,Giá gốc,Giá trị ghi sổ,Giá gốc,Giá trị ghi sổ,,,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,,,,,
Tiền gửi có kỳ hạn,Ngắn hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,,,1.163.400.000.000,1.163.400.000.000,359.900.000.000,359.900.000.000,,,1163400000000.0,1163400000000.0,359900000000.0,359900000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),Ngắn hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),,,1.103.400.000.000,1.103.400.000.000,359.900.000.000,359.900.000.000,,,1103400000000.0,1103400000000.0,359900000000.0,359900000000.0
Ngân hàng TMCP Công thương Việt Nam - CN Thành An (2),Ngắn hạn > Ngân hàng TMCP Công thương Việt Nam - CN Thành An (2),Ngân hàng TMCP Công thương Việt Nam - CN Thành An (2),,,60.000.000.000,60.000.000.000,-,-,,,60000000000.0,60000000000.0,,
Cộng,Ngắn hạn > Cộng,Cộng,,,1.163.400.000.000,1.163.400.000.000,359.900.000.000,359.900.000.000,,,1163400000000.0,1163400000000.0,359900000000.0,359900000000.0
