row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,"Nhân hiệu, tên thương mại","Bản quyền, bằng sáng chế",Đơn vị tính: VND Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,"numeric__Nhân hiệu, tên thương mại","numeric__Bản quyền, bằng sáng chế",numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2018,Nguyên giá > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,23.203.483.161,1.853.758.480,267.227.596,8.551.700.193,33.876.169.430,23203483161.0,1853758480.0,267227596.0,8551700193.0,33876169430.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,146.518.000,808.732.800,-,-,955.250.800,146518000.0,808732800.0,,,955250800.0
Phân loại lại tài sản,Nguyên giá > Phân loại lại tài sản,Phân loại lại tài sản,-,8.551.700.193,-,(8.551.700.193),-,,8551700193.0,,-8551700193.0,
Số dư ngày 31/12/2018,Nguyên giá > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,23.350.001.161,11.214.191.473,267.227.596,-,34.831.420.230,23350001161.0,11214191473.0,267227596.0,,34831420230.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư ngày 01/01/2018,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2018,Số dư ngày 01/01/2018,979.154.076,434.832.530,267.227.596,2.232.480.880,3.913.695.082,979154076.0,434832530.0,267227596.0,2232480880.0,3913695082.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,500.790.107,1.417.956.649,-,-,1.918.746.756,500790107.0,1417956649.0,,,1918746756.0
Phân loại lại khấu hao,Giá trị hao mòn luỹ kế > Phân loại lại khấu hao,Phân loại lại khấu hao,-,2.232.480.880,-,(2.232.480.880),-,,2232480880.0,,-2232480880.0,
Số dư ngày 31/12/2018,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2018,Số dư ngày 31/12/2018,1.479.944.183,4.085.270.059,267.227.596,-,5.832.441.838,1479944183.0,4085270059.0,267227596.0,,5832441838.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 01/01/2018,Giá trị còn lại > Tại ngày 01/01/2018,Tại ngày 01/01/2018,22.224.329.085,1.418.925.950,-,6.319.219.313,29.962.474.348,22224329085.0,1418925950.0,,6319219313.0,29962474348.0
Tại ngày 31/12/2018,Giá trị còn lại > Tại ngày 31/12/2018,Tại ngày 31/12/2018,21.870.056.978,7.128.921.414,-,-,28.998.978.392,21870056978.0,7128921414.0,,,28998978392.0
