row_label_raw,row_label_full,Chỉ tiêu > Số dư tại ngày 01/01/2017 > - Tăng vốn trong năm trước > - Lãi trong năm trước,Vốn góp của chủ sở hữu > 1.029.359.940.000 > 514.679.970.000 > -,Lợi nhuận sau thuế chưa phân phối > 191.523.873.400 > - > 177.650.063.642,Đơn vị tính: VND Cộng > 1.220.883.813.400 > 514.679.970.000 > 177.650.063.642,numeric__Vốn góp của chủ sở hữu > 1.029.359.940.000 > 514.679.970.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 191.523.873.400 > - > 177.650.063.642,numeric__Đơn vị tính: VND Cộng > 1.220.883.813.400 > 514.679.970.000 > 177.650.063.642
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,(28.103.608.420),(28.103.608.420),,-28103608420.0,-28103608420.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,(15.751.058.649),(15.751.058.649),,-15751058649.0,-15751058649.0
- Trích quỹ khen thưởng ban điều hành,- Trích quỹ khen thưởng ban điều hành,- Trích quỹ khen thưởng ban điều hành,-,(12.556.634.238),(12.556.634.238),,-12556634238.0,-12556634238.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,(102.935.994.000),1.856.802.545.735,,-102935994000.0,1856802545735.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,1.544.039.910.000,209.826.641.735,3.713.605.091.470,1544039910000.0,209826641735.0,3713605091470.0
- Lãi trong năm nay,- Lãi trong năm nay,- Lãi trong năm nay,-,223.231.507.253,223.231.507.253,,223231507253.0,223231507253.0
- Lợi ích cổ đông không kiểm soát tại ngày mua,- Lợi ích cổ đông không kiểm soát tại ngày mua,- Lợi ích cổ đông không kiểm soát tại ngày mua,-,11.287.674,11.287.674,,11287674.0,11287674.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,(154.427.470.436),(154.427.470.436),,-154427470436.0,-154427470436.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,(26.312.392.643),(26.312.392.643),,-26312392643.0,-26312392643.0
"- Trích quỹ đầu khen thưởng, ban điều hành","- Trích quỹ đầu khen thưởng, ban điều hành","- Trích quỹ đầu khen thưởng, ban điều hành",-,(24.760.393.491),(24.760.393.491),,-24760393491.0,-24760393491.0
- Giảm khác,- Giảm khác,- Giảm khác,-,(645.041.842),(645.041.842),,-645041842.0,-645041842.0
Số dư tại 31/12/2018,Số dư tại 31/12/2018,Số dư tại 31/12/2018,1.544.039.910.000,226.924.138.250,3.730.702.587.985,1544039910000.0,226924138250.0,3730702587985.0
