row_label_raw,row_label_full,Công ty TNHH MTV Thái Gia Phú Quốc,-,-_1,70.000.000.000,-_2,numeric__-,numeric__-_1,numeric__70.000.000.000,numeric__-_2
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,1.965.960.624,(1.347.362.135),2.562.413.735,(1.347.362.135),1965960624.0,-1347362135.0,2562413735.0,-1347362135.0
Cộng,Cộng,Cộng,593.578.507.869,(1.347.362.135),317.014.038.544,(1.388.932.135),593578507869.0,-1347362135.0,317014038544.0,-1388932135.0
