row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2018,Đơn vị tính: VND 01/01/2018,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__Đơn vị tính: VND 01/01/2018
A,A,A,TÀI SẢN NGĂN HẠN,100,,5.473.170.382.400,3.485.278.922.143,,100.0,,5473170382400.0,3485278922143.0
I,I,I,Tiền và các khoản tương đương tiền,110,V.1.,358.811.289.562,444.097.062.786,,110.0,,358811289562.0,444097062786.0
1,1,1,Tiền,111,,286.311.289.562,257.097.062.786,,111.0,,286311289562.0,257097062786.0
2,2,2,Các khoản tương đương tiền,112,,72.500.000.000,187.000.000.000,,112.0,,72500000000.0,187000000000.0
II,II,II,Đầu tư tài chính ngắn hạn,120,V.3.,1.163.400.000.000,359.900.000.000,,120.0,,1163400000000.0,359900000000.0
1,1,1,Chứng khoán kinh doanh,121,,24.400.000,24.400.000,,121.0,,24400000.0,24400000.0
2,2,2,Dự phòng giảm giá chứng khoán kinh doanh,122,,(24.400.000),(24.400.000),,122.0,,-24400000.0,-24400000.0
3,3,3,Đầu tư nằm giữ đến ngày đáo hạn,123,,1.163.400.000.000,359.900.000.000,,123.0,,1163400000000.0,359900000000.0
III,III,III,Các khoản phải thu ngắn hạn,130,,1.563.086.862.974,1.386.812.938.234,,130.0,,1563086862974.0,1386812938234.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.2.,664.194.542.486,833.497.445.858,,131.0,,664194542486.0,833497445858.0
2,2,2,Trà trước cho người bán ngắn hạn,132,V.4.,248.454.598.838,175.320.001.477,,132.0,,248454598838.0,175320001477.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,86.900.000.000,163.100.000.000,,135.0,,86900000000.0,163100000000.0
4,4,4,Phải thu ngắn hạn khác,136,V.6.,586.908.739.945,226.434.967.687,,136.0,,586908739945.0,226434967687.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,,(23.371.018.295),(12.185.402.217),,137.0,,-23371018295.0,-12185402217.0
6,6,6,Tài sản thiếu chờ xử lý,139,V.7.,,645.925.429,,139.0,,,645925429.0
IV,IV,IV,Hàng tồn kho,140,V.8.,2.244.364.133.826,1.256.574.401.471,,140.0,,2244364133826.0,1256574401471.0
1,1,1,Hàng tồn kho,141,,2.244.364.133.826,1.256.574.401.471,,141.0,,2244364133826.0,1256574401471.0
V,V,V,Tài sản ngắn hạn khác,150,,143.508.096.038,37.894.519.652,,150.0,,143508096038.0,37894519652.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.14.,17.874.528.355,5.982.558.364,,151.0,,17874528355.0,5982558364.0
2,2,2,Thuế GTGT được khấu trừ,152,,115.956.410.684,31.849.685.269,,152.0,,115956410684.0,31849685269.0
3,3,3,Thuế và các khoản khác phải thu Nhà nước,153,V.18.,9.677.156.999,62.276.019,,153.0,,9677156999.0,62276019.0
B,B,B,TÀI SẢN DÀI HẠN,200,,2.949.320.031.678,2.167.006.656.392,,200.0,,2949320031678.0,2167006656392.0
I,I,I,Các khoản phải thu dài hạn,210,,5.322.405.789,89.231.708.722,,210.0,,5322405789.0,89231708722.0
1,1,1,Phải thu dài hạn khác,216,V.6.,6.669.767.924,90.579.070.857,,216.0,,6669767924.0,90579070857.0
2,2,2,Dự phòng phải thu dài hạn khó đòi,219,,(1.347.362.135),(1.347.362.135),,219.0,,-1347362135.0,-1347362135.0
II,II,II,Tài sản cố định,220,,1.202.440.409.442,1.213.333.160.478,,220.0,,1202440409442.0,1213333160478.0
1,1,1,Tài sản cố định hữu hình,221,V.9.,1.165.009.751.047,1.172.794.958.519,,221.0,,1165009751047.0,1172794958519.0
-,-,-,Nguyên giá,222,,1.302.851.921.753,1.262.174.577.864,,222.0,,1302851921753.0,1262174577864.0
-,-,-,Giá trị hao mòn luỹ kế,223,,(137.842.170.706),(89.379.619.345),,223.0,,-137842170706.0,-89379619345.0
2,2,2,Tài sản cố định thuê tài chính,224,V.11.,8.431.680.003,10.575.727.611,,224.0,,8431680003.0,10575727611.0
-,-,-,Nguyên giá,225,,10.604.545.454,10.604.545.454,,225.0,,10604545454.0,10604545454.0
-,-,-,Giá trị hao mòn luỹ kế,226,,(2.172.865.451),(28.817.843),,226.0,,-2172865451.0,-28817843.0
3,3,3,Tài sản cố định vô hình,227,V.10.,28.998.978.392,29.962.474.348,,227.0,,28998978392.0,29962474348.0
-,-,-,Nguyên giá,228,,34.831.420.230,33.876.169.430,,228.0,,34831420230.0,33876169430.0
-,-,-,Giá trị hao mòn luỹ kế,229,,(5.832.441.838),(3.913.695.082),,229.0,,-5832441838.0,-3913695082.0
III,III,III,Bất động sản đầu tư,230,V.12.,188.530.896.397,141.068.362.971,,230.0,,188530896397.0,141068362971.0
-,-,-,Nguyên giá,231,,223.859.538.130,172.459.187.371,,231.0,,223859538130.0,172459187371.0
-,-,-,Giá trị hao mòn luỹ kế,232,,(35.328.641.733),(31.390.824.400),,232.0,,-35328641733.0,-31390824400.0
IV,IV,IV,Tài sản dở dang dài hạn,240,V.13.,1.167.244.076.367,415.481.063.859,,240.0,,1167244076367.0,415481063859.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,,1.167.244.076.367,415.481.063.859,,242.0,,1167244076367.0,415481063859.0
V,V,V,Đầu tư tài chính dài hạn,250,V.3.,1.600.000.000,1.600.000.000,,250.0,,1600000000.0,1600000000.0
1,1,1,Đầu tư góp vốn vào đơn vị khác,253,,1.600.000.000,1.600.000.000,,253.0,,1600000000.0,1600000000.0
VI,VI,VI,Tài sản dài hạn khác,260,,384.182.243.683,306.292.360.362,,260.0,,384182243683.0,306292360362.0
1,1,1,Chi phí trả trước dài hạn,261,V.14.,194.433.701.431,139.905.193.402,,261.0,,194433701431.0,139905193402.0
2,2,2,Tài sản thuế thu nhập hoãn lại,262,,21.929.154.247,12.683.163.233,,262.0,,21929154247.0,12683163233.0
3,3,3,Lợi thế thương mại,269,V.16.,167.819.388.005,153.704.003.727,,269.0,,167819388005.0,153704003727.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,8.422.490.414.078,5.652.285.578.535,,270.0,,8422490414078.0,5652285578535.0
