row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,31/12/2018,01/01/2018,numeric__31/12/2018,numeric__01/01/2018
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,VND,VND,,
Tiền,Tiền và các khoản tương đương tiền > Tiền,Tiền,286.311.289.562,257.097.062.786,286311289562.0,257097062786.0
Tiền mặt,Tiền và các khoản tương đương tiền > Tiền mặt,Tiền mặt,27.262.139.814,9.344.871.745,27262139814.0,9344871745.0
Tiền gửi ngân hàng,Tiền và các khoản tương đương tiền > Tiền gửi ngân hàng,Tiền gửi ngân hàng,259.048.161.833,247.733.491.040,259048161833.0,247733491040.0
Tiền đang chuyển,Tiền và các khoản tương đương tiền > Tiền đang chuyển,Tiền đang chuyển,987.915,18.700.001,987915.0,18700001.0
Các khoản tương đương tiền (*),Tiền và các khoản tương đương tiền > Các khoản tương đương tiền (*),Các khoản tương đương tiền (*),72.500.000.000,187.000.000.000,72500000000.0,187000000000.0
Cộng,Tiền và các khoản tương đương tiền > Cộng,Cộng,358.811.289.562,444.097.062.786,358811289562.0,444097062786.0
