row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,189.901.177.618,189901177618.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,550.904.928.761,550904928761.0
Phải thu về cho vay ngắn hạn,Tài sản > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,490.000.000.000,490000000000.0
Phải thu về cho vay dài hạn,Tài sản > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,449.644.400.000,449644400000.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,55.526.940.835,55526940835.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,3.235.747.113.467,3235747113467.0
Tài sản thuế hoãn lại,Tài sản > Tài sản thuế hoãn lại,Tài sản thuế hoãn lại,9.858.618.092,9858618092.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,71.450.897.999,71450897999.0
,,,5.053.034.076.772,5053034076772.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,3.676.970.084.384,3676970084384.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,70.001.266.549,70001266549.0
,,,3.746.971.350.933,3746971350933.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,1.306.062.725.839,1306062725839.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,6.558.892.248,6558892248.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(128.618.087),-128618087.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,1.312.493.000.000,1312493000000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(189.901.177.618),-189901177618.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,1.122.591.822.382,1122591822382.0
