row_label_raw,row_label_full,GW Supernova Pte.Ltd. (iii),1.136.750.000.000,1.139.500.000.000,numeric__1.136.750.000.000,numeric__1.139.500.000.000
"Credit Suisse AG, Chi nhánh Singapore (iv)","Credit Suisse AG, Chi nhánh Singapore (iv)","Credit Suisse AG, Chi nhánh Singapore (iv)",750.255.000.000,1.367.400.000.000,750255000000.0,1367400000000.0
Crane Investment Ltd. (iv),Crane Investment Ltd. (iv),Crane Investment Ltd. (iv),954.870.000.000,-,954870000000.0,
,,,2.841.875.000.000,2.506.900.000.000,2841875000000.0,2506900000000.0
