row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần (""TMCP"") Việt Nam Thịnh Vương (i) > Ngân hàng TMCP Việt Nam Thịnh Vương (ii) > Ngân hàng TMCP Công thương Việt Nam – Chi nhánh TP HCM (vii)",897.000.000.000 > 451.800.000.000 > 360.000.000.000,-,numeric__897.000.000.000 > 451.800.000.000 > 360.000.000.000,numeric__-
"Ngân hàng Thương mại Cổ phần (""TMCP"") Sải Gòn Thương Tín – Sở Giao dịch (iii)","Ngân hàng Thương mại Cổ phần (""TMCP"") Sải Gòn Thương Tín – Sở Giao dịch (iii)","Ngân hàng Thương mại Cổ phần (""TMCP"") Sải Gòn Thương Tín – Sở Giao dịch (iii)",250.000.000.000,250.000.000.000,250000000000.0,250000000000.0
Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn (iv),Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn (iv),Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn (iv),200.000.000.000,150.000.000.000,200000000000.0,150000000000.0
Ngân hàng TMCP Việt Nam Thịnh Vương – Chi nhánh TP HCM (v),Ngân hàng TMCP Việt Nam Thịnh Vương – Chi nhánh TP HCM (v),Ngân hàng TMCP Việt Nam Thịnh Vương – Chi nhánh TP HCM (v),100.002.000.000,-,100002000000.0,
Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Nam Sài Gòn (vi),Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Nam Sài Gòn (vi),Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Nam Sài Gòn (vi),73.542.207.620,150.153.000.000,73542207620.0,150153000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (viii),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (viii),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (viii),34.140.000.000,-,34140000000.0,
Maybank International Labuan Branch (viii),Maybank International Labuan Branch (viii),Maybank International Labuan Branch (viii),20.484.000.000,-,20484000000.0,
"The Shanghai & Savings Bank, Ltd. – Offshore Banking Branch (viii)","The Shanghai & Savings Bank, Ltd. – Offshore Banking Branch (viii)","The Shanghai & Savings Bank, Ltd. – Offshore Banking Branch (viii)",6.828.000.000,-,6828000000.0,
"Chailease International Financial Services Co., Ltd (viii)","Chailease International Financial Services Co., Ltd (viii)","Chailease International Financial Services Co., Ltd (viii)",4.552.000.000,-,4552000000.0,
Ngân hàng Malayan Banking Berhad (Maybank) – Chi nhánh TP HCM (viii),Ngân hàng Malayan Banking Berhad (Maybank) – Chi nhánh TP HCM (viii),Ngân hàng Malayan Banking Berhad (Maybank) – Chi nhánh TP HCM (viii),2.224.000.000,-,2224000000.0,
Ngân hàng Đông Nam Á – Chi nhánh TP. Hồ Chí Minh,Ngân hàng Đông Nam Á – Chi nhánh TP. Hồ Chí Minh,Ngân hàng Đông Nam Á – Chi nhánh TP. Hồ Chí Minh,-,181.200.000.000,,181200000000.0
Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,-,160.000.000.000,,160000000000.0
Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,-,140.500.000.000,,140500000000.0
Ngân hàng TMCP Bản Việt – Chi nhánh Gia Định,Ngân hàng TMCP Bản Việt – Chi nhánh Gia Định,Ngân hàng TMCP Bản Việt – Chi nhánh Gia Định,-,98.828.896.087,,98828896087.0
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,-,65.852.481.875,,65852481875.0
