row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhân hiệu, tên thương mại VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhân hiệu, tên thương mại VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,25.400.891.068,142.225.000,4.482.213.050,30.025.329.118,25400891068.0,142225000.0,4482213050.0,30025329118.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.220.042.002,-,-,1.220.042.002,1220042002.0,,,1220042002.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,11.122.502.190,-,7.945.021.233,19.067.523.423,11122502190.0,,7945021233.0,19067523423.0
Chuyển từ XDCB dở dang(Thuyết minh 16),Nguyên giá > Chuyển từ XDCB dở dang(Thuyết minh 16),Chuyển từ XDCB dở dang(Thuyết minh 16),-,-,3.057.100.000,3.057.100.000,,,3057100000.0,3057100000.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,-,150.000.000,150.000.000,,,150000000.0,150000000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.862.937.000),(112.225.000),-,(2.975.162.000),-2862937000.0,-112225000.0,,-2975162000.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,34.880.498.260,30.000.000,15.634.334.283,50.544.832.543,34880498260.0,30000000.0,15634334283.0,50544832543.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,-,(99.816.650),(1.282.543.615),(1.382.360.265),,-99816650.0,-1282543615.0,-1382360265.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(42.408.350),(4.326.198.686),(4.368.607.036),,-42408350.0,-4326198686.0,-4368607036.0
Tăng do mua công ty con,Khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,-,(142.250.000),(142.250.000),,,-142250000.0,-142250000.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,112.225.000,-,112.225.000,,112225000.0,,112225000.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,-,(30.000.000),(5.750.992.301),(5.780.992.301),,-30000000.0,-5750992301.0,-5780992301.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,25.400.891.068,42.408.350,3.199.669.435,28.642.968.853,25400891068.0,42408350.0,3199669435.0,28642968853.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,34.880.498.260,-,9.883.341.982,44.763.840.242,34880498260.0,,9883341982.0,44763840242.0
