row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2017VND,Đánh giá chênh > TăngVND,Đánh giá chênh > lệch tỷ giáVND,Đánh giá chênh > GiảmVND,Vay dài hạnđến hạn trảVND,Tại ngày31.12.2017VND,numeric__col_1,numeric__Tại ngày1.1.2017VND,numeric__Đánh giá chênh > TăngVND,numeric__Đánh giá chênh > lệch tỷ giáVND,numeric__Đánh giá chênh > GiảmVND,numeric__Vay dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2017VND
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
(a),(a) > (a),(a),- Vay ngân hàng (*),1.196.534.377.962,1.632.342.207.620,-,(1.763.534.377.962),1.335.230.000.000,2.400.572.207.620,,1196534377962.0,1632342207620.0,,-1763534377962.0,1335230000000.0,2400572207620.0
(a),(a) > (a),(a),- Phát hành trái phiếu (**),1.300.000.000.000,2.011.046.222.222,-,(3.311.046.222.222),1.900.000.000.000,1.900.000.000.000,,1300000000000.0,2011046222222.0,,-3311046222222.0,1900000000000.0,1900000000000.0
(a),(a) > (a),(a),- Vay bên thứ ba (***),3.093.770.365.687,9.356.654.787.735,-,(9.002.118.380.396),-,3.448.306.773.026,,3093770365687.0,9356654787735.0,,-9002118380396.0,,3448306773026.0
(a),(a) > (a),(a),- Vay bên liên quan(Thuyết minh 41(b)),9.465.000.000,-,-,(9.465.000.000),-,-,,9465000000.0,,,-9465000000.0,,
(a),(a) > (a),(a),- Chi phí phát hànhtrái phiếu,(3.999.999.996),-,-,3.999.999.996,-,-,,-3999999996.0,,,3999999996.0,,
(a),(a) > (a),(a),,5.595.769.743.653,13.000.043.217.577,-,(14.082.163.980.584),3.235.230.000.000,7.748.878.980.646,,5595769743653.0,13000043217577.0,,-14082163980584.0,3235230000000.0,7748878980646.0
(b),(b),(b),Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
(b),(b) > (b),(b),- Vay ngân hàng (*),1.951.979.128.505,1.613.636.686.772,(290.000.000),(388.336.875.165),(1.335.230.000.000),1.841.758.940.112,,1951979128505.0,1613636686772.0,-290000000.0,-388336875165.0,-1335230000000.0,1841758940112.0
(b),(b) > (b),(b),- Phát hành trái phiếu (**),3.482.000.000.000,5.000.000.000.000,-,(1.016.000.000.000),(1.900.000.000.000),5.566.000.000.000,,3482000000000.0,5000000000000.0,,-1016000000000.0,-1900000000000.0,5566000000000.0
(b),(b) > (b),(b),- Vay bên thứ ba (***),2.506.900.000.000,1.707.050.000.000,(4.675.000.000),(1.367.400.000.000),-,2.841.875.000.000,,2506900000000.0,1707050000000.0,-4675000000.0,-1367400000000.0,,2841875000000.0
(b),(b) > (b),(b),- Chi phí phát hànhtrái phiếu,(33.385.570.424),(55.897.000.000),-,40.522.375.985,-,(48.760.194.439),,-33385570424.0,-55897000000.0,,40522375985.0,,-48760194439.0
(b),(b) > (b),(b),,7.907.493.558.081,8.264.789.686.772,(4.965.000.000),(2.731.214.499.180),(3.235.230.000.000),10.200.873.745.673,,7907493558081.0,8264789686772.0,-4965000000.0,-2731214499180.0,-3235230000000.0,10200873745673.0
