row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tài sảnkhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tài sảnkhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,49.562.169.748,17.259.190.874,71.012.601.035,23.385.402.665,915.072.997,162.134.437.319,49562169748.0,17259190874.0,71012601035.0,23385402665.0,915072997.0,162134437319.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(6.384.284.734),-,-,5.164.242.732,-,(1.220.042.002),-6384284734.0,,,5164242732.0,,-1220042002.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.942.267.284,5.398.663.101,19.537.922.546,7.360.203.713,-,37.239.056.644,4942267284.0,5398663101.0,19537922546.0,7360203713.0,,37239056644.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,203.599.248.691,976.893.101,1.693.777.859,1.178.465.361,-,207.448.385.012,203599248691.0,976893101.0,1693777859.0,1178465361.0,,207448385012.0
Chuyển từ XDCB đồ dang(Thuyết minh 16),Nguyên giá > Chuyển từ XDCB đồ dang(Thuyết minh 16),Chuyển từ XDCB đồ dang(Thuyết minh 16),-,-,38.303.709.498,-,-,38.303.709.498,,,38303709498.0,,,38303709498.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.329.117.543),(1.974.086.773),(12.919.497.732),(210.259.316),-,(16.432.961.364),-1329117543.0,-1974086773.0,-12919497732.0,-210259316.0,,-16432961364.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,(3.414.089.100),(3.606.693.819),(8.709.415.193),(573.463.906),(16.303.662.018),,-3414089100.0,-3606693819.0,-8709415193.0,-573463906.0,-16303662018.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,250.390.283.446,18.246.571.203,114.021.819.387,28.168.639.962,341.609.091,411.168.923.089,250390283446.0,18246571203.0,114021819387.0,28168639962.0,341609091.0,411168923089.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,,,,
