row_label_raw,row_label_full,Công ty,Lợi nhuận sau thuế chưa phân phối tăng/(giảm) VND,numeric__Lợi nhuận sau thuế chưa phân phối tăng/(giảm) VND
Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,(104.330.509.489),-104330509489.0
Công ty TNHH Nova Nam Á,Công ty TNHH Nova Nam Á,Công ty TNHH Nova Nam Á,(51.492.388.743),-51492388743.0
Công ty Cổ phần Nova Richstar,Công ty Cổ phần Nova Richstar,Công ty Cổ phần Nova Richstar,(48.312.967.373),-48312967373.0
Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,28.633.330.084,28633330084.0
Công ty TNHH Mega Tie,Công ty TNHH Mega Tie,Công ty TNHH Mega Tie,14.126.362.599,14126362599.0
Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,5.458.948.502,5458948502.0
Công ty Cổ phần Ngôi Nhà Mega,Công ty Cổ phần Ngôi Nhà Mega,Công ty Cổ phần Ngôi Nhà Mega,(3.079.791.335),-3079791335.0
Công ty khác,Công ty khác,Công ty khác,3.048.481.571,3048481571.0
,,,(155.948.534.184),-155948534184.0
