row_label_raw,row_label_full,col_0,Cổ phần thường VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Cổ phần thường VND,numeric__Cổ phần ưu đãi VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,3.504.657.610.000,178.300.000.000,882.598.605.400,550.370.777.697,5.115.926.993.097,3504657610000.0,178300000000.0,882598605400.0,550370777697.0,5115926993097.0
Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,1.017.039.570.000,-,-,-,1.017.039.570.000,1017039570000.0,,,,1017039570000.0
Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,519.995.160.000,-,(519.995.160.000),-,-,519995160000.0,,-519995160000.0,,
Chảo bán riêng rễ,Chảo bán riêng rễ,Chảo bán riêng rễ,522.000.000.000,-,2.031.423.000.000,-,2.553.423.000.000,522000000000.0,,2031423000000.0,,2553423000000.0
Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông,Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông,Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông,330.000.000.000,(110.000.000.000),(220.000.000.000),-,-,330000000000.0,-110000000000.0,-220000000000.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.665.077.557.360,1.665.077.557.360,,,,1665077557360.0,1665077557360.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(53.490.000.000),(53.490.000.000),,,,-53490000000.0,-53490000000.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,-,-,-,(1.209.508.504.543),(1.209.508.504.543),,,,-1209508504543.0,-1209508504543.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,5.893.692.340.000,68.300.000.000,2.174.026.445.400,952.449.830.514,9.088.468.615.914,5893692340000.0,68300000000.0,2174026445400.0,952449830514.0,9088468615914.0
Phát hành riêng lẻ cổ phần thường đề hoán đổi nợ (i),Phát hành riêng lẻ cổ phần thường đề hoán đổi nợ (i),Phát hành riêng lẻ cổ phần thường đề hoán đổi nợ (i),334.595.540.000,-,1.032.804.460.000,-,1.367.400.000.000,334595540000.0,,1032804460000.0,,1367400000000.0
"Phát hành cổ phần thường theo chương trình lựa chọn cho người lao động (""ESOP"") (ii)","Phát hành cổ phần thường theo chương trình lựa chọn cho người lao động (""ESOP"") (ii)","Phát hành cổ phần thường theo chương trình lựa chọn cho người lao động (""ESOP"") (ii)",200.000.000.000,-,-,-,200.000.000.000,200000000000.0,,,,200000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,2.033.481.810.322,2.033.481.810.322,,,,2033481810322.0,2033481810322.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(24.765.000.000),(24.765.000.000),,,,-24765000000.0,-24765000000.0
Kết chuyển phần lỗ đã ghi nhận trước đây trong lợi nhuận sau thuế chưa phân phối (iii),Kết chuyển phần lỗ đã ghi nhận trước đây trong lợi nhuận sau thuế chưa phân phối (iii),Kết chuyển phần lỗ đã ghi nhận trước đây trong lợi nhuận sau thuế chưa phân phối (iii),-,-,-,102.000.000.000,102.000.000.000,,,,102000000000.0,102000000000.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát (iv),Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát (iv),Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát (iv),-,-,-,(155.948.534.184),(155.948.534.184),,,,-155948534184.0,-155948534184.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,6.428.287.880.000,68.300.000.000,3.206.830.905.400,2.907.218.106.652,12.610.636.892.052,6428287880000.0,68300000000.0,3206830905400.0,2907218106652.0,12610636892052.0
