row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,663.771.535,663771535.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,307.013.687.488,307013687488.0
Phải thu về cho vay ngắn hạn,Tài sản > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,538.570.412.672,538570412672.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,620.230.320.931,620230320931.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,2.447.029.855.498,2447029855498.0
Tài sản thuế hoãn lại,Tài sản > Tài sản thuế hoãn lại,Tài sản thuế hoãn lại,64.630.576.814,64630576814.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,99.710.811.432,99710811432.0
,,,4.077.849.436.370,4077849436370.0
Nợ phải trả,Tài sản > Nợ phải trả,Nợ phải trả,3.219.059.789.520,3219059789520.0
Tài sản thuần,Tài sản > Tài sản thuần,Tài sản thuần,858.789.646.850,858789646850.0
Lợi thế thương mại,Tài sản > Lợi thế thương mại,Lợi thế thương mại,256.555.800.905,256555800905.0
Lợi ích cổ đông không kiểm soát,Tài sản > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(397.260.255),-397260255.0
Tổng giá phí,Tài sản > Tổng giá phí,Tổng giá phí,1.114.948.187.500,1114948187500.0
Khoản tiền thu được,Tài sản > Khoản tiền thu được,Khoản tiền thu được,(663.771.535),-663771535.0
Tiền thuần chi ra,Tài sản > Tiền thuần chi ra,Tiền thuần chi ra,1.114.284.415.965,1114284415965.0
