row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2017VND,Số phát sinhtrong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Ảnh hưởng dohợp nhấtkinh doanhVND,Tại ngày31.12.2017VND,numeric__col_1,numeric__Tại ngày1.1.2017VND,numeric__Số phát sinhtrong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Ảnh hưởng dohợp nhấtkinh doanhVND,numeric__Tại ngày31.12.2017VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,,
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp tạm nộp 1%,(83.142.669.324),6.253.385.828,85.310.212.142,(70.974.810.686),72.878.171,(62.481.003.869),,-83142669324.0,6253385828.0,85310212142.0,-70974810686.0,72878171.0,-62481003869.0
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(381.804.313.170),(1.061.323.032.285),852.463.289.164,-,(59.075.691.583),(649.739.747.874),,-381804313170.0,-1061323032285.0,852463289164.0,,-59075691583.0,-649739747874.0
(a),(a) > (a),(a),Thuế GTGT nộp thừa,(20.031.825.299),-,20.031.825.299,-,-,-,,-20031825299.0,,20031825299.0,,,
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp (nộp thừa),(24.830.306.933),403.562.388,(34.027.261.862),(1.226.928.488),(346.174.006),(60.027.108.901),,-24830306933.0,403562388.0,-34027261862.0,-1226928488.0,-346174006.0,-60027108901.0
(a),(a) > (a),(a),Thuế khác,-,90.782.383,4.731.737,(61.492.824),(94.767.124),(60.745.828),,,90782383.0,4731737.0,-61492824.0,-94767124.0,-60745828.0
(a),(a) > (a),(a),,(509.809.114.726),(1.054.575.301.686),923.782.796.480,(72.263.231.998),(59.443.754.542),(772.308.606.472),,-509809114726.0,-1054575301686.0,923782796480.0,-72263231998.0,-59443754542.0,-772308606472.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,,
(b),(b) > (b),(b),Thuế thu nhập doanh nghiệp,36.614.066.025,802.996.123.803,(51.282.950.280),(580.255.308.446),(747.664.106),207.324.266.996,,36614066025.0,802996123803.0,-51282950280.0,-580255308446.0,-747664106.0,207324266996.0
(b),(b) > (b),(b),Thuế GTGT hàng bán nội địa,82.859.123.162,1.302.430.631.064,(872.495.114.463),(391.979.759.272),-,120.814.880.491,,82859123162.0,1302430631064.0,-872495114463.0,-391979759272.0,,120814880491.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,3.413.359.127,109.509.453.805,(4.731.737),(100.036.618.585),80.612.692,12.962.075.302,,3413359127.0,109509453805.0,-4731737.0,-100036618585.0,80612692.0,12962075302.0
(b),(b) > (b),(b),Tiền sử dụng đất,-,497.905.956.000,-,(255.405.956.000),-,242.500.000.000,,,497905956000.0,,-255405956000.0,,242500000000.0
(b),(b) > (b),(b),Thuế khác,67.461.744,64.641.453.798,-,(59.648.116.899),-,5.060.798.643,,67461744.0,64641453798.0,,-59648116899.0,,5060798643.0
(b),(b) > (b),(b),,122.954.010.058,2.777.483.618.470,(923.782.796.480),(1.387.325.759.202),(667.051.414),588.662.021.432,,122954010058.0,2777483618470.0,-923782796480.0,-1387325759202.0,-667051414.0,588662021432.0
