row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,155.252.799,155252799.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,411.919.121.770,411919121770.0
Phải thu về cho vay ngắn hạn,Tài sản > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,48.809.459.077,48809459077.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,234.729.198.447,234729198447.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.165.677.786.315,1165677786315.0
Tài sản thuế hoãn lại,Tài sản > Tài sản thuế hoãn lại,Tài sản thuế hoãn lại,2.668.187.281,2668187281.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,28.757.775.372,28757775372.0
,,,1.892.716.781.061,1892716781061.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,1.303.697.953.178,1303697953178.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,17.936.638.115,17936638115.0
,,,1.321.634.591.293,1321634591293.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,571.082.189.768,571082189768.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,14.031.988.140,14031988140.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(103.418.799),-103418799.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,585.010.759.109,585010759109.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(155.252.799),-155252799.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,584.855.506.310,584855506310.0
