row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,94.646.794.786,45.504.057.153,1.876.075.613,43.624.362.551,376.890.951,186.028.181.054,94646794786.0,45504057153.0,1876075613.0,43624362551.0,376890951.0,186028181054.0
Mua sắm mối,NGUYÊN GIÁ > Mua sắm mối,Mua sắm mối,-,-,9.424.901.818,4.458.707.327,-,13.883.609.145,,,9424901818.0,4458707327.0,,13883609145.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(864.637.900),(780.876.067),(63.600.840),-,(1.709.114.807),,-864637900.0,-780876067.0,-63600840.0,,-1709114807.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,94.646.794.786,44.639.419.253,10.520.101.364,48.019.469.038,376.890.951,198.202.675.392,94646794786.0,44639419253.0,10520101364.0,48019469038.0,376890951.0,198202675392.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,35.073.372.701,36.923.977.990,931.259.215,34.855.271.812,376.890.951,108.160.772.669,35073372701.0,36923977990.0,931259215.0,34855271812.0,376890951.0,108160772669.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,4.663.498.069,4.626.818.814,876.394.458,5.386.163.246,-,15.552.874.587,4663498069.0,4626818814.0,876394458.0,5386163246.0,,15552874587.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(743.860.945),(780.876.067),(63.600.840),-,(1.588.337.852),,-743860945.0,-780876067.0,-63600840.0,,-1588337852.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,39.736.870.770,40.806.935.859,1.026.777.606,40.177.834.218,376.890.951,122.125.309.404,39736870770.0,40806935859.0,1026777606.0,40177834218.0,376890951.0,122125309404.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,59.573.422.085,8.580.079.163,944.816.398,8.769.090.739,-,77.867.408.385,59573422085.0,8580079163.0,944816398.0,8769090739.0,,77867408385.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,54.909.924.016,3.832.483.394,9.493.323.758,7.841.634.820,-,76.077.365.988,54909924016.0,3832483394.0,9493323758.0,7841634820.0,,76077365988.0
