row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phãnsở hữu (trực tiếp và gián tiếp),Tỷ lệquyền biểu quyết nấm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phãnsở hữu (trực tiếp và gián tiếp),numeric__Tỷ lệquyền biểu quyết nấm giữ,numeric__Hoạt động chính
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,"Tăng 22, tòa nhà Keangnam Landmark 72, E6, Phạm Hùng, Mễ Trì, Từ Liêm, Hà Nội",100%,100%,"Cung cấp giải pháp phãnmẽm ứng dụng, dịch vụERP, dịch vụ công nghệ thông tin, tích hợp hệ thống",,1.0,1.0,
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,"Tăng 6-12, tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,Cung cấp các dịch vụ và sản phẩm phân mềm,,1.0,1.0,
Công ty TNHH Thương mại FPT,Công ty TNHH Thương mại FPT,Công ty TNHH Thương mại FPT,"Tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính",,1.0,1.0,
