row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
,,,VND,VND,VND,VND,,,,
a. Đầu tư nằm giữ đến ngày đáo hạnngắn hạn,a. Đầu tư nằm giữ đến ngày đáo hạnngắn hạn,a. Đầu tư nằm giữ đến ngày đáo hạnngắn hạn,1.633.500.000.000,1.633.500.000.000,1.375.400.000.000,1.375.400.000.000,1633500000000.0,1633500000000.0,1375400000000.0,1375400000000.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,1.633.500.000.000,1.633.500.000.000,1.375.400.000.000,1.375.400.000.000,1633500000000.0,1633500000000.0,1375400000000.0,1375400000000.0
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,Giá gốc,Dư phòng,Giá gốc,Dư phòng,,,,
,,,VND,VND,VND,VND,,,,
b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,b. Các khoản đầu tư tài chính dài hạn,,,,
b1) Đầu tư vào công ty con,b. Các khoản đầu tư tài chính dài hạn > b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,4.420.302.733.682,(11.348.712.867),4.120.302.733.682,(11.348.712.867),4420302733682.0,-11348712867.0,4120302733682.0,-11348712867.0
Công ty TNHH Hệ thống Thông tin FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,850.000.000.000,-,850.000.000.000,-,850000000000.0,,850000000000.0,
Công ty TNHH Thượng mại FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Thượng mại FPT,Công ty TNHH Thượng mại FPT,680.000.000.000,-,680.000.000.000,-,680000000000.0,,680000000000.0,
Công ty TNHH Truyền thông và Giải trí FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Truyền thông và Giải trí FPT,Công ty TNHH Truyền thông và Giải trí FPT,50.000.000.000,(11.348.712.867),50.000.000.000,(11.348.712.867),50000000000.0,-11348712867.0,50000000000.0,-11348712867.0
Công ty TNHH Đầu tư FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,800.000.000.000,-,800.000.000.000,-,800000000000.0,,800000000000.0,
Công ty TNHH Giáo dục FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,250.000.000.000,-,250.000.000.000,-,250000000000.0,,250000000000.0,
Công ty TNHH Phân mềm FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,1.012.073.500.000,-,712.073.500.000,-,1012073500000.0,,712073500000.0,
Công ty Cổ phần Vĩến thông FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty Cổ phần Vĩến thông FPT,Công ty Cổ phần Vĩến thông FPT,585.592.515.312,-,585.592.515.312,-,585592515312.0,,585592515312.0,
Công ty Cổ phần Dịch vụ trực tuyến FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty Cổ phần Dịch vụ trực tuyến FPT,Công ty Cổ phần Dịch vụ trực tuyến FPT,22.636.718.370,-,22.636.718.370,-,22636718370.0,,22636718370.0,
Công ty Cổ phần Bản lẻ Kỹ thuật số FPT,b. Các khoản đầu tư tài chính dài hạn > Công ty Cổ phần Bản lẻ Kỹ thuật số FPT,Công ty Cổ phần Bản lẻ Kỹ thuật số FPT,170.000.000.000,-,170.000.000.000,-,170000000000.0,,170000000000.0,
b2) Đầu tư vào đơn vị khác,b. Các khoản đầu tư tài chính dài hạn > b2) Đầu tư vào đơn vị khác,b2) Đầu tư vào đơn vị khác,5.919.900.000,(1.179.900.000),5.919.900.000,(1.179.900.000),5919900000.0,-1179900000.0,5919900000.0,-1179900000.0
Dự án xây dựng dưỡng vàh đai 4,b. Các khoản đầu tư tài chính dài hạn > Dự án xây dựng dưỡng vàh đai 4,Dự án xây dựng dưỡng vàh đai 4,500.000.000,-,500.000.000,-,500000000.0,,500000000.0,
Công ty TNHH Vijasgate,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH Vijasgate,Công ty TNHH Vijasgate,1.179.900.000,(1.179.900.000),1.179.900.000,(1.179.900.000),1179900000.0,-1179900000.0,1179900000.0,-1179900000.0
Công ty TNHH F-Agrex Toàn cầu,b. Các khoản đầu tư tài chính dài hạn > Công ty TNHH F-Agrex Toàn cầu,Công ty TNHH F-Agrex Toàn cầu,4.240.000.000,-,4.240.000.000,-,4240000000.0,,4240000000.0,
