row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.439.766.000.000,49.941.441.360,(823.760.000),87.203.093.024,103.009.261,2.323.795.364.968,5.899.985.148.613,3439766000000.0,49941441360.0,-823760000.0,87203093024.0,103009261.0,2323795364968.0,5899985148613.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,17.193.170.000,-,-,-,-,-,17.193.170.000,17193170000.0,,,,,,17193170000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.777.106.882.168,1.777.106.882.168,,,,,,1777106882168.0,1777106882168.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(1.101.514.085),(1.101.514.085),,,,,,-1101514085.0,-1101514085.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,518.357.230.000,-,-,-,-,(518.357.230.000),-,518357230000.0,,,,,-518357230000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(743.062.805.000),(743.062.805.000),,,,,,-743062805000.0,-743062805000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.975.316.400.000,49.941.441.360,(823.760.000),87.203.093.024,103.009.261,2.838.380.698.051,6.950.120.881.696,3975316400000.0,49941441360.0,-823760000.0,87203093024.0,103009261.0,2838380698051.0,6950120881696.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,19.868.290.000,-,-,-,-,-,19.868.290.000,19868290000.0,,,,,,19868290000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.139.933.422.304,1.139.933.422.304,,,,,,1139933422304.0,1139933422304.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(3.574.380.530),(3.574.380.530),,,,,,-3574380530.0,-3574380530.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,599.082.150.000,-,-,-,-,(599.082.150.000),-,599082150000.0,,,,,-599082150000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(858.780.401.000),(858.780.401.000),,,,,,-858780401000.0,-858780401000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.594.266.840.000,49.941.441.360,(823.760.000),87.203.093.024,103.009.261,2.516.877.188.825,7.247.567.812.470,4594266840000.0,49941441360.0,-823760000.0,87203093024.0,103009261.0,2516877188825.0,7247567812470.0
