row_label_raw,row_label_full,col_0,Công nd,Công nd_1,Tài sản,Tài sản_1,numeric__Công nd,numeric__Công nd_1,numeric__Tài sản,numeric__Tài sản_1
,,,Số cuối năm VND,Số đầu năm VND,Số cuối năm VND,Số đầu năm VND,,,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),7.598.724.824,3.277.053.869,1.443.088.186,1.617.393.204,7598724824.0,3277053869.0,1443088186.0,1617393204.0
Euro (EUR),Euro (EUR),Euro (EUR),-,-,17.475.679,17.156.752,,,17475679.0,17156752.0
Đô la Singapore (SGD),Đô la Singapore (SGD),Đô la Singapore (SGD),-,-,11.695.816,15.314.578,,,11695816.0,15314578.0
