row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,,,
Tiền và các khoản tương đương tiễn,31/12/2015 > Tiền và các khoản tương đương tiễn,Tiền và các khoản tương đương tiễn,1.369.140.931.655,-,1.369.140.931.655,1369140931655.0,,1369140931655.0
Phải thu ngắn hạn của khách hàng,31/12/2015 > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,47.380.174.447,-,47.380.174.447,47380174447.0,,47380174447.0
Dầu tư,31/12/2015 > Dầu tư,Dầu tư,1.375.400.000.000,4.740.000.000,1.380.140.000.000,1375400000000.0,4740000000.0,1380140000000.0
Phải thu vẽ cho vay ngắn hạn,31/12/2015 > Phải thu vẽ cho vay ngắn hạn,Phải thu vẽ cho vay ngắn hạn,165.500.000.000,-,165.500.000.000,165500000000.0,,165500000000.0
Phải thu ngắn hạn khác,31/12/2015 > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,653.353.988.909,-,653.353.988.909,653353988909.0,,653353988909.0
,,,3.610.775.095.011,4.740.000.000,3.615.515.095.011,3610775095011.0,4740000000.0,3615515095011.0
31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,,,
Phải trả người bán ngắn hạn,31/12/2015 > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,18.580.306.823,-,18.580.306.823,18580306823.0,,18580306823.0
Chi phí phải trả ngắn hạn,31/12/2015 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,8.515.834.033,-,8.515.834.033,8515834033.0,,8515834033.0
Phải trả khác,31/12/2015 > Phải trả khác,Phải trả khác,251.596.842.319,1.472.611.255,253.069.453.574,251596842319.0,1472611255.0,253069453574.0
Vay ngắn hạn,31/12/2015 > Vay ngắn hạn,Vay ngắn hạn,1.263.750.000.000,-,1.263.750.000.000,1263750000000.0,,1263750000000.0
,,,1.542.442.983.175,1.472.611.255,1.543.915.594.430,1542442983175.0,1472611255.0,1543915594430.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.068.332.111.836,3.267.388.745,2.071.599.500.581,2068332111836.0,3267388745.0,2071599500581.0
