row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,,,
Tiền và các khoản tương đương tiền,31/12/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.853.809.981.427,-,2.853.809.981.427,2853809981427.0,,2853809981427.0
Phải thu ngắn hạn của khách hàng,31/12/2016 > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,83.121.959.307,-,83.121.959.307,83121959307.0,,83121959307.0
Đầu tư,31/12/2016 > Đầu tư,Đầu tư,1.633.500.000.000,4.740.000.000,1.638.240.000.000,1633500000000.0,4740000000.0,1638240000000.0
Phải thu vẽ cho vay ngắn hạn,31/12/2016 > Phải thu vẽ cho vay ngắn hạn,Phải thu vẽ cho vay ngắn hạn,50.900.000.000,-,50.900.000.000,50900000000.0,,50900000000.0
Phải thu ngắn hạn khác,31/12/2016 > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.041.517.768.437,-,1.041.517.768.437,1041517768437.0,,1041517768437.0
,,,5.662.849.709.171,4.740.000.000,5.667.589.709.171,5662849709171.0,4740000000.0,5667589709171.0
31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,,,
Phải trả người bán ngắn hạn,31/12/2016 > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,85.026.607.172,-,85.026.607.172,85026607172.0,,85026607172.0
Chi phí phải trả ngắn hạn,31/12/2016 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,15.860.900.718,-,15.860.900.718,15860900718.0,,15860900718.0
Phải trả khác,31/12/2016 > Phải trả khác,Phải trả khác,424.809.231.536,-,424.809.231.536,424809231536.0,,424809231536.0
Vay ngắn hạn,31/12/2016 > Vay ngắn hạn,Vay ngắn hạn,2.768.000.000.000,-,2.768.000.000.000,2768000000000.0,,2768000000000.0
,,,3.293.696.739.426,-,3.293.696.739.426,3293696739426.0,,3293696739426.0
Chênh lệch thanh khoản thuần,31/12/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.369.152.969.745,4.740.000.000,2.373.892.969.745,2369152969745.0,4740000000.0,2373892969745.0
