row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nguyễn Sơn,Ngắn hạn > Nguyễn Sơn,Nguyễn Sơn,-,78.613.649.508,,78613649508.0
Thu tiền đặt cọc thực hiện nghĩa vụ hợp đồng tại khu Phúc Ninh (i),Ngắn hạn > Thu tiền đặt cọc thực hiện nghĩa vụ hợp đồng tại khu Phúc Ninh (i),Thu tiền đặt cọc thực hiện nghĩa vụ hợp đồng tại khu Phúc Ninh (i),315.683.005.739,5.500.000.000,315683005739.0,5500000000.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,10.107.711.095,4.480.208.103,10107711095.0,4480208103.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,325.790.716.834,88.593.857.611,325790716834.0,88593857611.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công ty Cổ phần Cơ điện tử và Tín học Cholimex (ii),Dài hạn > Công ty Cổ phần Cơ điện tử và Tín học Cholimex (ii),Công ty Cổ phần Cơ điện tử và Tín học Cholimex (ii),55.500.000.000,55.500.000.000,55500000000.0,55500000000.0
Đặt cọc thuê nhà xưởng Yuzhan,Dài hạn > Đặt cọc thuê nhà xưởng Yuzhan,Đặt cọc thuê nhà xưởng Yuzhan,3.410.273.328,3.410.273.328,3410273328.0,3410273328.0
Các khoản đặt cọc khác,Dài hạn > Các khoản đặt cọc khác,Các khoản đặt cọc khác,3.040.306.708,3.040.306.708,3040306708.0,3040306708.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,61.950.580.036,61.950.580.036,61950580036.0,61950580036.0
