row_label_raw,row_label_full,Trái phiếu > KBC Bond 004 > KBCbond0 1-2017 > KBCbond2 -2017 > KBCbond3 -2017 > KBCbond4 -2017 > KBC Bond2017,Loại trái phiếu > Trái phiếu doanh nghiệp phát hành cho PVCombank > Trái phiếu doanh nghiệp phát hành cho BIDV Bắc Sài Gòn > Trái phiếu doanh nghiệp phát hành cho các đối tượng,Số lượng trái phiếu > 3.000.000 > 480 > 2.000.000 > 1.500.000 > 2.000.000 > 5.000.000,Mệnh giả VND > 100.000 > 1.000.000.000 > 100.000,Giả trị VND > 300.000.000.000 > 480.000.000.000 > 200.000.000.000 > 150.000.000.000 > 200.000.000.000 > 500.000.000.000,"Lãi suất %/năm > 9,7% > 10,18% > 10,5%",Thời hạn trái phiếu > 31 tháng 10 năm 2019 > 21 tháng 11 năm 2022 > 26 tháng 1 năm 2019 > 16 tháng 2 năm 2019 > 22 tháng 5 năm 2019 > 8 tháng 11 năm 2018,"Tài sản đảm bảo > Thế chấp bằng giá trị hàng tồn kho của Dự án Đầu tư xây dựng Khu đô thị và Dịch vụ Tràng Cát. > Quyền sử dụng đất và tài sản gắn liền với đất tại Hùng Vương, phương Hải Châu 1, Quận Hải Châu, thành phố Đà Nẵng thuộc sở hữu của Công ty Cổ phần Địa Оc Viễn Đông Việt Nam > KBCbond2-2017, KBCbond3-2017, KBCbond4-2017 và KBC Bond2017 > được thế chấp bằng cổ phần của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng.",numeric__Loại trái phiếu > Trái phiếu doanh nghiệp phát hành cho PVCombank > Trái phiếu doanh nghiệp phát hành cho BIDV Bắc Sài Gòn > Trái phiếu doanh nghiệp phát hành cho các đối tượng,numeric__Số lượng trái phiếu > 3.000.000 > 480 > 2.000.000 > 1.500.000 > 2.000.000 > 5.000.000,numeric__Mệnh giả VND > 100.000 > 1.000.000.000 > 100.000,numeric__Giả trị VND > 300.000.000.000 > 480.000.000.000 > 200.000.000.000 > 150.000.000.000 > 200.000.000.000 > 500.000.000.000,"numeric__Lãi suất %/năm > 9,7% > 10,18% > 10,5%",numeric__Thời hạn trái phiếu > 31 tháng 10 năm 2019 > 21 tháng 11 năm 2022 > 26 tháng 1 năm 2019 > 16 tháng 2 năm 2019 > 22 tháng 5 năm 2019 > 8 tháng 11 năm 2018,"numeric__Tài sản đảm bảo > Thế chấp bằng giá trị hàng tồn kho của Dự án Đầu tư xây dựng Khu đô thị và Dịch vụ Tràng Cát. > Quyền sử dụng đất và tài sản gắn liền với đất tại Hùng Vương, phương Hải Châu 1, Quận Hải Châu, thành phố Đà Nẵng thuộc sở hữu của Công ty Cổ phần Địa Оc Viễn Đông Việt Nam > KBCbond2-2017, KBCbond3-2017, KBCbond4-2017 và KBC Bond2017 > được thế chấp bằng cổ phần của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng."
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(19.609.515.158),,,được thế chấp bằng cổ phần của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng.,,,,-19609515158.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.810.390.484.842,,,được thế chấp bằng cổ phần của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng.,,,,1810390484842.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,
Trái phiếu phải thanh toán trong năm tới,Trong đó: > Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,800.000.000.000,,,,,,,800000000000.0,,,
Trái phiếu phải thanh toán trong dài hạn,Trong đó: > Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,1.030.000.000.000,,,,,,,1030000000000.0,,,
Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Trong đó: > Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,(19.609.515.158),,,,,,,-19609515158.0,,,
