row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Quế Võ,"Lãi suất > 10,5%/năm","Kỳ hạn trả gốc và lãi > Gốc vay đáo hạn vào ngày 6 tháng 2 năm 2020.Lãi vay được trả vào ngày 25 cuối mỗi quý > Gốc vay đáo hạn vào ngày 29 tháng 11 năm 2022. Lãi vay được trả vào ngày 25 cuối mỗi quý > Gốc vay đáo hạn vào ngày 16 tháng 11 năm 2022, trả 6 tháng một lần, lãi vay trả 3 tháng 1 lần kể từ ngày 25 tháng 8 năm 2017 > Gốc trả 6 tháng một lần từ ngày 25 tháng 7 năm 2016, lãi vay trả vào ngày 25 cuối quý kể từ ngày 26 tháng 3 năm 2018",Số cuối năm > 31.980.678.000 > 60.169.292.400 > 80.156.324.532 > 2.800.000.000,"Đơn vị tính: VNDTài sản đảm bảo > Nhà xưởng lô L tại khu công nghiệp Quế Võ mở rộng, các tài sản khác gắn liền với đất hình thành trong tương lai tại lô L và các quyền tài sản phát sinh từ các hợp đồng kinh tế (hợp đồng cho thuê/bán nhà xưởng lô L). > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100ha giai đoạn 1 Khu công nghiệp Nam Sơn - Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100ha giai đoạn 1 Khu công nghiệp Nam Sơn - Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha. > Toàn bộ các tài sản gắn liền với đất hình thành từ dự án đầu tư xây dựng văn phòng, nhà xưởng Lô M, N, T tại Khu công nghiệp Quế Võ Mở rộng.","numeric__Lãi suất > 10,5%/năm","numeric__Kỳ hạn trả gốc và lãi > Gốc vay đáo hạn vào ngày 6 tháng 2 năm 2020.Lãi vay được trả vào ngày 25 cuối mỗi quý > Gốc vay đáo hạn vào ngày 29 tháng 11 năm 2022. Lãi vay được trả vào ngày 25 cuối mỗi quý > Gốc vay đáo hạn vào ngày 16 tháng 11 năm 2022, trả 6 tháng một lần, lãi vay trả 3 tháng 1 lần kể từ ngày 25 tháng 8 năm 2017 > Gốc trả 6 tháng một lần từ ngày 25 tháng 7 năm 2016, lãi vay trả vào ngày 25 cuối quý kể từ ngày 26 tháng 3 năm 2018",numeric__Số cuối năm > 31.980.678.000 > 60.169.292.400 > 80.156.324.532 > 2.800.000.000,"numeric__Đơn vị tính: VNDTài sản đảm bảo > Nhà xưởng lô L tại khu công nghiệp Quế Võ mở rộng, các tài sản khác gắn liền với đất hình thành trong tương lai tại lô L và các quyền tài sản phát sinh từ các hợp đồng kinh tế (hợp đồng cho thuê/bán nhà xưởng lô L). > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100ha giai đoạn 1 Khu công nghiệp Nam Sơn - Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100ha giai đoạn 1 Khu công nghiệp Nam Sơn - Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha. > Toàn bộ các tài sản gắn liền với đất hình thành từ dự án đầu tư xây dựng văn phòng, nhà xưởng Lô M, N, T tại Khu công nghiệp Quế Võ Mở rộng."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,175.106.294.932,,,,175106294932.0,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,,,10.000.000.000165.106.294.932,,,,1.0000000000165107e+22,
