row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Năm nay > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,32.132.759.048,23.705.289.246,32132759048.0,23705289246.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,3.903.053.668,5.093.403.450,3903053668.0,5093403450.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.607.901.435,17.752.381.708,39607901435.0,17752381708.0
Khác,Khác,Khác,7.627.553.741,6.413.799.452,7627553741.0,6413799452.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,83.271.267.892,52.964.873.856,83271267892.0,52964873856.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,,
"Phí tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng phát sinh trong năm > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",7.694.886.865,12.112.370.207,7694886865.0,12112370207.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,1.963.650.756,1.682.198.000,1963650756.0,1682198000.0
Khác,Các khoản chi phí bán hàng phát sinh trong năm > Khác,Khác,-,20.959.566,,20959566.0
TỔNG CỘNG,Các khoản chi phí bán hàng phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,9.658.537.621,13.815.527.773,9658537621.0,13815527773.0
