row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ biểu quyết,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số (VND),Số đầu năm > Tỷ lệ biểu quyết,Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số (VND),numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số (VND),numeric__Số đầu năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số (VND)
Công ty TNHH Một thành viên Phát triển Đồ thị Trăng Cát,Công ty TNHH Một thành viên Phát triển Đồ thị Trăng Cát,Công ty TNHH Một thành viên Phát triển Đồ thị Trăng Cát,100%,150.000.000,1.500.000.000.000,100%,150.000.000,1.500.000.000.000,1.0,150000000.0,1500000000000.0,1.0,150000000.0,1500000000000.0
Công ty Cổ phần Phát triển Đồ thị Sài Gòn - Tây Bắc,Công ty Cổ phần Phát triển Đồ thị Sài Gòn - Tây Bắc,Công ty Cổ phần Phát triển Đồ thị Sài Gòn - Tây Bắc,"74,30%",30.259.574,662.066.314.000,"63,52%",30.259.574,662.066.314.000,0.743,30259574.0,662066314000.0,0.6352,30259574.0,662066314000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,"86,54%",3.600.000,468.000.000.000,"86,54%",3.600.000,468.000.000.000,0.8654000000000001,3600000.0,468000000000.0,0.8654000000000001,3600000.0,468000000000.0
Công ty TNHH Một thành viên Phát triển Khách sạn Hoa Sen (i),Công ty TNHH Một thành viên Phát triển Khách sạn Hoa Sen (i),Công ty TNHH Một thành viên Phát triển Khách sạn Hoa Sen (i),-,-,-,100%,-,145.123.583.744,,,,1.0,,145123583744.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,"80,80%",1.309.000,119.000.000.000,"79,50%",1.309.000,119.000.000.000,0.8079999999999999,1309000.0,119000000000.0,0.795,1309000.0,119000000000.0
Công ty TNHH MTV Đầu tư NGD (ii),Công ty TNHH MTV Đầu tư NGD (ii),Công ty TNHH MTV Đầu tư NGD (ii),100%,-,105.200.000.000,-,-,-,1.0,,105200000000.0,,,
Công ty TNHH MTV Kinh doanh Văn phòng và nhà xưởng Kinh Bắc (iii),Công ty TNHH MTV Kinh doanh Văn phòng và nhà xưởng Kinh Bắc (iii),Công ty TNHH MTV Kinh doanh Văn phòng và nhà xưởng Kinh Bắc (iii),100%,-,4.300.000.000,-,-,-,1.0,,4300000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,2.858.566.314.000,,,2.894.189.897.744,,,2858566314000.0,,,2894189897744.0
Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,,,-,,,-,,,,,,
GIÁ TRỊ THUẢN,Dự phòng giảm giá đầu tư vào công ty con > GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,,,2.858.566.314.000,,,2.894.189.897.744,,,2858566314000.0,,,2894189897744.0
