row_label_raw,row_label_full,col_0,Đơn vị tính:VND,numeric__Đơn vị tính:VND
,,,Nhà xưởng (bao gồm chi phí phát triển đất và cơ sở hạ tầng),
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,68.431.657.532,68431657532.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,68.431.657.532,68431657532.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Khấu hao trong năm,Số đầu năm > Khấu hao trong năm,Khấu hao trong năm,7.025.316.822,7025316822.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,7.025.316.822,7025316822.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,68.431.657.532,68431657532.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,61.406.340.710,61406340710.0
