row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị\( D_{UP} \) phòng,Đơn vị tính: VND > Số đầu năm > Giá trị\( D_{UP} \) phòng,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị\( D_{UP} \) phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị\( D_{UP} \) phòng,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu Công ty Cổ phầnDịch vụ Kinh Bắc (i),Ngắn hạn > Phải thu Công ty Cổ phầnDịch vụ Kinh Bắc (i),Phải thu Công ty Cổ phầnDịch vụ Kinh Bắc (i),565.437.813.547,-,549.714.632.444,-,565437813547.0,,549714632444.0,
Tạm ứng cho PVcomBankliên quan đến mua lại khoảnđầu tư,Ngắn hạn > Tạm ứng cho PVcomBankliên quan đến mua lại khoảnđầu tư,Tạm ứng cho PVcomBankliên quan đến mua lại khoảnđầu tư,211.840.284.000,-,191.690.284.000,-,211840284000.0,,191690284000.0,
Phải thu khác từ các bên liênquan (Thuyết minh số 27),Ngắn hạn > Phải thu khác từ các bên liênquan (Thuyết minh số 27),Phải thu khác từ các bên liênquan (Thuyết minh số 27),44.422.361.509,-,46.810.136.608,-,44422361509.0,,46810136608.0,
Phải thu Ủy ban Nhân đầntỉnh Bắc Ninh tiền hỗ trợ giácho thuê lại đất có cơ sở hạtầng (ii),Ngắn hạn > Phải thu Ủy ban Nhân đầntỉnh Bắc Ninh tiền hỗ trợ giácho thuê lại đất có cơ sở hạtầng (ii),Phải thu Ủy ban Nhân đầntỉnh Bắc Ninh tiền hỗ trợ giácho thuê lại đất có cơ sở hạtầng (ii),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (iii),Ngắn hạn > Phải thu tiền đặt cọc (iii),Phải thu tiền đặt cọc (iii),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu Ủy ban Nhân dân XãVận Dương,Ngắn hạn > Phải thu Ủy ban Nhân dân XãVận Dương,Phải thu Ủy ban Nhân dân XãVận Dương,3.327.780.000,-,3.327.780.000,,3327780000.0,,3327780000.0,
Phải thu Công ty Cổ phần Tưvấn và Đầu tư Kinh Bắc liênquan đến công nợ với Côngty Cổ phần Thủy điện SGI -Lào,Ngắn hạn > Phải thu Công ty Cổ phần Tưvấn và Đầu tư Kinh Bắc liênquan đến công nợ với Côngty Cổ phần Thủy điện SGI -Lào,Phải thu Công ty Cổ phần Tưvấn và Đầu tư Kinh Bắc liênquan đến công nợ với Côngty Cổ phần Thủy điện SGI -Lào,-,-,21.766.558.152,-,,,21766558152.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,16.853.672.963,-,8.571.309.538,-,16853672963.0,,8571309538.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,874.173.040.423,-,854.171.829.146,-,874173040423.0,,854171829146.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải thu khác từ các bên liênquan (Thuyết minh số 27),Dài hạn > Phải thu khác từ các bên liênquan (Thuyết minh số 27),Phải thu khác từ các bên liênquan (Thuyết minh số 27),543.804.113.942,-,355.300.428.072,-,543804113942.0,,355300428072.0,
Công ty Cổ phần Địa ốc ViễnĐồng Việt Nam (iv),Dài hạn > Công ty Cổ phần Địa ốc ViễnĐồng Việt Nam (iv),Công ty Cổ phần Địa ốc ViễnĐồng Việt Nam (iv),600.000.000.000,-,-,,600000000000.0,,,
Công ty Cổ phần Dịch vụ KinhBắc (v),Dài hạn > Công ty Cổ phần Dịch vụ KinhBắc (v),Công ty Cổ phần Dịch vụ KinhBắc (v),70.903.647.915,-,40.925.135.593,-,70903647915.0,,40925135593.0,
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,60.000.000,-,60.000.000,-,60000000.0,,60000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.214.767.761.857,-,396.285.563.665,-,1214767761857.0,,396285563665.0,
