row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 8),Nội dungnghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8),Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Nội dungnghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8)
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Lãi và phí tráiphiếu KBCBond 005,-,14.975.083.332,,,14975083332.0
Ông Đăng Thành TâmBà Nguyễn Thị Thu HươngÔng Phan Anh Dũng,Ông Đăng Thành TâmBà Nguyễn Thị Thu HươngÔng Phan Anh Dũng,Ông Đăng Thành TâmBà Nguyễn Thị Thu HươngÔng Phan Anh Dũng,Tạm ứngTạm ứngTạm ứng,40.823.149.6893.489.211.820110.000.000,28.235.841.4563.489.211.820110.000.000,,4.082314968934892e+29,2.8235841456348923e+29
,,,,44.422.361.509,46.810.136.608,,44422361509.0,46810136608.0
Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),Phải thu dài hạn khác(Thuyết minh số 8),,,
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (i),Phải thu dài hạn khác(Thuyết minh số 8) > Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (i),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (i),"Lãi vay, xây dựng cơ bản khác",537.980.566.919,355.300.428.072,,537980566919.0,355300428072.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải thu dài hạn khác(Thuyết minh số 8) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Lãi vay,5.823.547.023,-,,5823547023.0,
,,,,543.804.113.942,355.300.428.072,,543804113942.0,355300428072.0
Chi phí phải trả ngắn hạn(Thuyết minh số 17),Chi phí phải trả ngắn hạn(Thuyết minh số 17),Chi phí phải trả ngắn hạn(Thuyết minh số 17),Chi phí phải trả ngắn hạn(Thuyết minh số 17),Chi phí phải trả ngắn hạn(Thuyết minh số 17),Chi phí phải trả ngắn hạn(Thuyết minh số 17),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả ngắn hạn(Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phảitrã ngắn hạn,32.252.315.795,15.582.883.594,,32252315795.0,15582883594.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Chi phí phải trả ngắn hạn(Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Lãi vay phảitrã ngắn hạn,640.285.731,505.488.735,,640285731.0,505488735.0
,,,,32.892.601.526,16.088.372.329,,32892601526.0,16088372329.0
Chi phí phải trả dài hạn(Thuyết minh số 17),Chi phí phải trả dài hạn(Thuyết minh số 17),Chi phí phải trả dài hạn(Thuyết minh số 17),Chi phí phải trả dài hạn(Thuyết minh số 17),Chi phí phải trả dài hạn(Thuyết minh số 17),Chi phí phải trả dài hạn(Thuyết minh số 17),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn(Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phảitrã dài hạn,-,20.454.395.541,,,20454395541.0
,,,,-,20.454.395.541,,,20454395541.0
Vay ngắn hạn(Thuyết minh số 19),Vay ngắn hạn(Thuyết minh số 19),Vay ngắn hạn(Thuyết minh số 19),Vay ngắn hạn(Thuyết minh số 19),Vay ngắn hạn(Thuyết minh số 19),Vay ngắn hạn(Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (ii),Vay ngắn hạn(Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (ii),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (ii),Vay ngắn hạnVay dài hạnđến hạn trả,24.948.956.7156.100.000.000,107.625.500.000-,,2.494895671561e+20,
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Vay ngắn hạn(Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Vay ngắn hạn,112.330.830.000,112.330.830.000,,112330830000.0,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Vay ngắn hạn(Thuyết minh số 19) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Vay dài hạnđến hạn trả,-,1.500.000.000,,,1500000000.0
,,,,143.379.786.715,221.456.330.000,,143379786715.0,221456330000.0
Vay dài hạn(Thuyết minh số 19),Vay dài hạn(Thuyết minh số 19),Vay dài hạn(Thuyết minh số 19),Vay dài hạn(Thuyết minh số 19),Vay dài hạn(Thuyết minh số 19),Vay dài hạn(Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn(Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn,-,206.070.276.339,,,206070276339.0
,,,,-,206.070.276.339,,,206070276339.0
