row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
Công ty Cổ phần Bắt ĐộngSản Hải Phát,Công ty Cổ phần Bắt ĐộngSản Hải Phát,Công ty Cổ phần Bắt ĐộngSản Hải Phát,16.026.197.325,16.026.197.325,-,-,16026197325.0,16026197325.0,,
Công ty Cổ phần Vận tải vàXây dựng Trung Tiền,Công ty Cổ phần Vận tải vàXây dựng Trung Tiền,Công ty Cổ phần Vận tải vàXây dựng Trung Tiền,14.076.270.800,14.076.270.800,9.363.043.000,9.363.043.000,14076270800.0,14076270800.0,9363043000.0,9363043000.0
Công ty Cổ phần Xây dựng số1 Hà Nội,Công ty Cổ phần Xây dựng số1 Hà Nội,Công ty Cổ phần Xây dựng số1 Hà Nội,-,-,2.317.260.652,2.317.260.652,,,2317260652.0,2317260652.0
Công ty TNHH Trọng Cường,Công ty TNHH Trọng Cường,Công ty TNHH Trọng Cường,2.925.733.791,2.925.733.791,2.479.560.679,2.479.560.679,2925733791.0,2925733791.0,2479560679.0,2479560679.0
Công ty Cổ phần Đầu tưTrường Phát,Công ty Cổ phần Đầu tưTrường Phát,Công ty Cổ phần Đầu tưTrường Phát,2.661.011.300,2.661.011.300,11.760.407.600,11.760.407.600,2661011300.0,2661011300.0,11760407600.0,11760407600.0
Công ty Cổ phần Hoa QuýBắc Ninh,Công ty Cổ phần Hoa QuýBắc Ninh,Công ty Cổ phần Hoa QuýBắc Ninh,2.130.486.000,2.130.486.000,-,-,2130486000.0,2130486000.0,,
Công ty Cổ phần Đầu TưThương mại Xây Dựng và DVThiền Phú,Công ty Cổ phần Đầu TưThương mại Xây Dựng và DVThiền Phú,Công ty Cổ phần Đầu TưThương mại Xây Dựng và DVThiền Phú,1.443.126.300,1.443.126.300,2.436.922.000,2.436.922.000,1443126300.0,1443126300.0,2436922000.0,2436922000.0
Công ty TNHH Liên HiệpNguyễn Lê,Công ty TNHH Liên HiệpNguyễn Lê,Công ty TNHH Liên HiệpNguyễn Lê,1.429.702.120,1.429.702.120,-,-,1429702120.0,1429702120.0,,
Công ty Cổ phần Đầu tư vàPhát triển Xây Dựng Vạn Lộc,Công ty Cổ phần Đầu tư vàPhát triển Xây Dựng Vạn Lộc,Công ty Cổ phần Đầu tư vàPhát triển Xây Dựng Vạn Lộc,1.203.124.200,1.203.124.200,-,-,1203124200.0,1203124200.0,,
Công ty Cổ phần Xây dựngdân dụng và công trình vănhóa Việt Nam,Công ty Cổ phần Xây dựngdân dụng và công trình vănhóa Việt Nam,Công ty Cổ phần Xây dựngdân dụng và công trình vănhóa Việt Nam,1.200.000.000,1.200.000.000,-,-,1200000000.0,1200000000.0,,
Công ty Cổ phần Xây dựngcông trình giao thông MạnhHà Sông Đà,Công ty Cổ phần Xây dựngcông trình giao thông MạnhHà Sông Đà,Công ty Cổ phần Xây dựngcông trình giao thông MạnhHà Sông Đà,565.855.400,565.855.400,2.966.602.000,2.966.602.000,565855400.0,565855400.0,2966602000.0,2966602000.0
Công ty TNHH Xây dựng vàCơ Điện HPN,Công ty TNHH Xây dựng vàCơ Điện HPN,Công ty TNHH Xây dựng vàCơ Điện HPN,347.579.500,347.579.500,5.064.630.000,5.064.630.000,347579500.0,347579500.0,5064630000.0,5064630000.0
Công ty TNHH BlueScopeBuildings Việt Nam,Công ty TNHH BlueScopeBuildings Việt Nam,Công ty TNHH BlueScopeBuildings Việt Nam,-,-,4.870.800.000,4.870.800.000,,,4870800000.0,4870800000.0
Phải trả đối tượng khác,Phải trả đối tượng khác,Phải trả đối tượng khác,11.794.005.552,11.794.005.552,12.390.373.198,12.390.373.198,11794005552.0,11794005552.0,12390373198.0,12390373198.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,55.803.092.288,55.803.092.288,53.649.599.129,53.649.599.129,55803092288.0,55803092288.0,53649599129.0,53649599129.0
