row_label_raw,row_label_full,col_0,Báng cân đối kế toán hợp nhất,Báng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Báng cân đối kế toán hợp nhất,numeric__Báng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,7.798.176.682,661.122.172,7.137.054.510,(2.214.305.477),7798176682.0,661122172.0,7137054510.0,-2214305477.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,6.039.627.340,208.000.000,5.831.627.340,208.000.000,6039627340.0,208000000.0,5831627340.0,208000000.0
Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,299.200.797,-,299.200.797,-,299200797.0,,299200797.0,
Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,-,-,-,798.396.353,,,,798396353.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),13.736.256.964,2.025.667.642,11.710.589.322,(3.460.865.970),13736256964.0,2025667642.0,11710589322.0,-3460865970.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,27.873.261.783,2.894.789.814,,,27873261783.0,2894789814.0,,
Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,24.978.471.969,(4.668.775.094),,,24978471969.0,-4668775094.0
