row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,16.119.154.646,2.435.917.309,567.166.005,310.734.600,19.432.972.560,16119154646.0,2435917309.0,567166005.0,310734600.0,19432972560.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.689.632.300,2.299.448.200,90.000.000,171.999.000,4.251.079.500,1689632300.0,2299448200.0,90000000.0,171999000.0,4251079500.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,584.029.208,-,-,584.029.208,,584029208.0,,,584029208.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,-,33.424.000,-,-,33.424.000,,33424000.0,,,33424000.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,17.808.786.946,5.352.818.717,657.166.005,482.733.600,24.301.505.268,17808786946.0,5352818717.0,657166005.0,482733600.0,24301505268.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,179.419.930,385.166.005,107.434.600,672.020.535,,179419930.0,385166005.0,107434600.0,672020535.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(340.743.969),(510.510.841),(427.645.183),(183.672.084),(1.462.572.077),-340743969.0,-510510841.0,-427645183.0,-183672084.0,-1462572077.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(879.864.999),(70.916.664),(53.691.654),(1.004.473.317),,-879864999.0,-70916664.0,-53691654.0,-1004473317.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,-,(33.424.000),-,-,(33.424.000),,-33424000.0,,,-33424000.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(340.743.969),(1.423.799.840),(498.561.847),(237.363.738),(2.500.469.394),-340743969.0,-1423799840.0,-498561847.0,-237363738.0,-2500469394.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,15.778.410.677,1.925.406.468,139.520.822,127.062.516,17.970.400.483,15778410677.0,1925406468.0,139520822.0,127062516.0,17970400483.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,17.468.042.977,3.929.018.877,158.604.158,245.369.862,21.801.035.874,17468042977.0,3929018877.0,158604158.0,245369862.0,21801035874.0
