row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Miền Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Miền Bắc > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Miền Trung > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Loại trừ > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Miền Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Miền Bắc > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Miền Trung > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Loại trừ > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu hoạt động kinh doanh,Doanh thu thuần > Doanh thu hoạt động kinh doanh,Doanh thu hoạt động kinh doanh,1.864.676.286.631,791.281.852.637,593.932.159.406,(370.648.908.727),2.879.241.389.947,1864676286631.0,791281852637.0,593932159406.0,-370648908727.0,2879241389947.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,895.776.672.544,410.955.940.009,440.302.257.410,(17.233.501.139),1.729.801.368.824,895776672544.0,410955940009.0,440302257410.0,-17233501139.0,1729801368824.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,286.813.809.771,38.569.437.961,1.383.288.880,(260.691.704.946),66.074.831.666,286813809771.0,38569437961.0,1383288880.0,-260691704946.0,66074831666.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,(51.933.484.061),(10.995.537.873),-,264.132.897,(62.664.889.037),-51933484061.0,-10995537873.0,,264132897.0,-62664889037.0
Chi phí bán hàng,Kết quả hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,(128.585.899.206),(139.152.522.635),(32.147.712.392),4.920.513.732,(294.965.620.501),-128585899206.0,-139152522635.0,-32147712392.0,4920513732.0,-294965620501.0
Chi phí quản lý doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(165.925.549.669),(46.485.573.888),(29.876.435.389),(6.270.151.644),(248.557.710.590),-165925549669.0,-46485573888.0,-29876435389.0,-6270151644.0,-248557710590.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,15.728.031.035,73.134.009,2.655.455.963,(835.913.418),17.620.707.589,15728031035.0,73134009.0,2655455963.0,-835913418.0,17620707589.0
Phân lợi nhuận từ công ty liên kết,Kết quả hoạt động kinh doanh > Phân lợi nhuận từ công ty liên kết,Phân lợi nhuận từ công ty liên kết,-,-,-,128.011.407.685,128.011.407.685,,,,128011407685.0,128011407685.0
