row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__VND Số đầu năm
Bất động sản dở dang,Bất động sản dở dang,Bất động sản dở dang,(i),2.965.209.292.615,584.358.381.648,,2965209292615.0,584358381648.0
Bất động sản thành phẩm,Bất động sản thành phẩm,Bất động sản thành phẩm,,301.369.764.206,238.790.150.712,,301369764206.0,238790150712.0
- Dự án Opal Riverside,- Dự án Opal Riverside,- Dự án Opal Riverside,,285.550.251.829,-,,285550251829.0,
- Dự án Khu dân cư nút giao thông,- Dự án Khu dân cư nút giao thông,- Dự án Khu dân cư nút giao thông,,,,,,
Phó Đức Chính và Ngô Quyền,- Dự án Khu dân cư nút giao thông > Phó Đức Chính và Ngô Quyền,Phó Đức Chính và Ngô Quyền,,7.658.084.902,-,,7658084902.0,
- Dự án An Viên,- Dự án Khu dân cư nút giao thông > - Dự án An Viên,- Dự án An Viên,,4.106.363.572,19.552.169.131,,4106363572.0,19552169131.0
"- Dự án Sunview 1, 2","- Dự án Khu dân cư nút giao thông > - Dự án Sunview 1, 2","- Dự án Sunview 1, 2",,4.055.063.903,-,,4055063903.0,
- Dự án Luxcity,- Dự án Khu dân cư nút giao thông > - Dự án Luxcity,- Dự án Luxcity,,-,219.237.981.581,,,219237981581.0
Các công trình xây dựng dở dang,- Dự án Khu dân cư nút giao thông > Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,,90.341.649.278,36.155.554.575,,90341649278.0,36155554575.0
Bất động sản hàng hóa,- Dự án Khu dân cư nút giao thông > Bất động sản hàng hóa,Bất động sản hàng hóa,(ii),48.047.081.160,52.146.302.310,,48047081160.0,52146302310.0
Nguyên vật liệu xây dựng,- Dự án Khu dân cư nút giao thông > Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,,7.521.663.279,3.921.026.430,,7521663279.0,3921026430.0
Hàng hóa,- Dự án Khu dân cư nút giao thông > Hàng hóa,Hàng hóa,,993.228.160,989.072.190,,993228160.0,989072190.0
"Công cụ, dụng cụ","- Dự án Khu dân cư nút giao thông > Công cụ, dụng cụ","Công cụ, dụng cụ",,736.216.249,391.351.956,,736216249.0,391351956.0
TỔNG CỘNG,- Dự án Khu dân cư nút giao thông > TỔNG CỘNG,TỔNG CỘNG,,3.414.218.894.947,916.751.839.821,,3414218894947.0,916751839821.0
Dự phòng giảm giá hàng tồn kho,- Dự án Khu dân cư nút giao thông > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,,(13.635.677.006),(1.249.221.145),,-13635677006.0,-1249221145.0
GIÁ TRỊ THUÀN,- Dự án Khu dân cư nút giao thông > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,3.400.583.217.941,915.502.618.676,,3400583217941.0,915502618676.0
