row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
LDG,LDG,LDG,Công ty liên kết,Mua 25.500.000 cổ phiếu phát hành cho cổ đông chiến lược Cho vay Doanh thu dịch vụ xây dựng Doanh thu dịch vụ bất động sản Lãi từ cho vay Vốn góp hợp tác kinh doanh Phí dịch vụ,255.000.000.00034.800.000.00016.000.906.8713.258.739.2661.431.875.000-,--,,,,
LDG,LDG > LDG,LDG,Công ty liên kết,Mua 25.500.000 cổ phiếu phát hành cho cổ đông chiến lược Cho vay Doanh thu dịch vụ xây dựng Doanh thu dịch vụ bất động sản Lãi từ cho vay Vốn góp hợp tác kinh doanh Phí dịch vụ,255.000.000.00034.800.000.00016.000.906.8713.258.739.2661.431.875.000-,936.900.3352.058.750.000260.000.000.0002.517.291.753,,,,9.36900335205875e+40
Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn,LDG > Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn,Bên liên quan,Chỉ tạm ứng Lãi từ cho vay Chi hộ,100.000.000.000430.521.89320.000.000,-,,,1.0000000000043052e+28,
Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn,LDG > Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Nam Sài Gòn,Bên liên quan,Chỉ tạm ứng Lãi từ cho vay Chi hộ,100.000.000.000430.521.89320.000.000,-,,,1.0000000000043052e+28,
Queen Land,Queen Land,Queen Land,Công ty liên kết,Phí dịch vụ Góp vốn Doanh thu dịch vụ bất động sản Cổ tức,3.722.177.594648.000.000-,11.928.020.355-1.084.014.020680.400.000,,,,
Queen Land,Queen Land,Queen Land,Công ty liên kết,Phí dịch vụ Góp vốn Doanh thu dịch vụ bất động sản Cổ tức,3.722.177.594648.000.000-,11.928.020.355-1.084.014.020680.400.000,,,,
Ông Nguyễn Khánh Hưng,Queen Land > Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,"Phó Chủ tịch Hội đồng Quản trị (""HĐQT"")",Doanh thu bán căn hộ Tạm ứng,2.178.628.2161.000.000.000,-,,,2.1786282161e+19,
Ông Nguyễn Khánh Hưng,Queen Land > Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,"Phó Chủ tịch Hội đồng Quản trị (""HĐQT"")",Doanh thu bán căn hộ Tạm ứng,2.178.628.2161.000.000.000,-,,,2.1786282161e+19,
Ông Lương Trí Thảo,Queen Land > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên HĐQT,Doanh thu bán đất Tạm ứng mua dự án,1.070.000.000-,-1.100.000.000,,,,-1100000000.0
Ông Lương Trí Tú,Queen Land > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Doanh thu bán căn hộ,404.725.202,-,,,404725202.0,
Ông Nguyễn Trường Sơn,Queen Land > Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,"Phó Tổng Giám đốc (""TGD"")",Doanh thu bán đất nền,319.758.227,-,,,319758227.0,
