row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,230.181.818,5.561.192.229,28.026.028.477,4.155.179.302,133.078.182,38.105.660.008,230181818.0,5561192229.0,28026028477.0,4155179302.0,133078182.0,38105660008.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,40.098.000,8.124.112.310,18.512.106.273,647.884.727,823.158.000,28.147.359.310,40098000.0,8124112310.0,18512106273.0,647884727.0,823158000.0,28147359310.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(50.000.000),(636.363.636),(2.129.874.019),(46.688.313),-,(2.862.925.968),-50000000.0,-636363636.0,-2129874019.0,-46688313.0,,-2862925968.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,220.279.818,13.048.940.903,44.408.260.731,4.756.375.716,956.236.182,63.390.093.350,220279818.0,13048940903.0,44408260731.0,4756375716.0,956236182.0,63390093350.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,50.000.000,769.063.636,5.409.100.318,784.345.731,-,7.012.509.685,50000000.0,769063636.0,5409100318.0,784345731.0,,7012509685.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(127.063.158),(1.862.973.684),(13.628.848.842),(1.584.601.992),(15.252.782),(17.218.740.458),-127063158.0,-1862973684.0,-13628848842.0,-1584601992.0,-15252782.0,-17218740458.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(40.109.970),(742.653.158),(4.440.974.053),(836.552.251),(139.138.807),(6.199.428.239),-40109970.0,-742653158.0,-4440974053.0,-836552251.0,-139138807.0,-6199428239.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,50.000.000,162.037.040,1.941.245.880,18.733.766,-,2.172.016.686,50000000.0,162037040.0,1941245880.0,18733766.0,,2172016686.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(117.173.128),(2.443.589.802),(16.128.577.015),(2.402.420.477),(154.391.589),(21.246.152.011),-117173128.0,-2443589802.0,-16128577015.0,-2402420477.0,-154391589.0,-21246152011.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,103.118.660,3.698.218.545,14.397.179.635,2.570.577.310,117.825.400,20.886.919.550,103118660.0,3698218545.0,14397179635.0,2570577310.0,117825400.0,20886919550.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,103.106.690,10.605.351.101,28.279.683.716,2.353.955.239,801.844.593,42.143.941.339,103106690.0,10605351101.0,28279683716.0,2353955239.0,801844593.0,42143941339.0
Trong đó:Thế chấp để đảm bảo các khoản vay(Thuyết minh số 27.3),Giá trị còn lại: > Trong đó:Thế chấp để đảm bảo các khoản vay(Thuyết minh số 27.3),Trong đó:Thế chấp để đảm bảo các khoản vay(Thuyết minh số 27.3),-,-,4.025.236.471,-,-,4.025.236.471,,,4025236471.0,,,4025236471.0
