row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 49.278.411.292,Số phải nộp trong năm > 244.498.993.292,Số đã nộp trong năm > (254.750.147.067),Giảm do thanh lý công ty con > (81.816.757),VND Số cuối năm > 38.945.440.760,numeric__Số đầu năm > 49.278.411.292,numeric__Số phải nộp trong năm > 244.498.993.292,numeric__Số đã nộp trong năm > (254.750.147.067),numeric__Giảm do thanh lý công ty con > (81.816.757),numeric__VND Số cuối năm > 38.945.440.760
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,116.362.575.214,274.878.315.250,(165.199.785.232),-,226.041.105.232,116362575214.0,274878315250.0,-165199785232.0,,226041105232.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.462.560.203,52.258.130.984,(53.047.518.514),(45.477.012),7.627.695.661,8462560203.0,52258130984.0,-53047518514.0,-45477012.0,7627695661.0
Khác,Khác,Khác,1.000.000,15.159.357.694,(15.146.437.118),-,13.920.576,1000000.0,15159357694.0,-15146437118.0,,13920576.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,174.104.546.709,586.794.797.220,(488.143.887.931),(127.293.769),272.628.162.229,174104546709.0,586794797220.0,-488143887931.0,-127293769.0,272628162229.0
