row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm,428.708.410.000 > 255.648.000.000,numeric__428.708.410.000 > 255.648.000.000
Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,(1.368.000.000),-1368000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,682.988.410.000,682988410000.0
