row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2017 (%),Tại ngày 31 tháng 12 năm 2016 (%),,,,,
(1),Tên công ty con > (1),(1),"Công ty TNHH MTV Đất Xanh Hội An (""Đất Xanh Hội An"")",Kinh doanh BDS,Đang hoạt động,100,-,,,,100.0,
(2),Tên công ty con > (2),(2),"Công ty TNHH Đầu tư Sài Gòn Riverside (""Saigon Riverside"")",Kinh doanh BDS,Đang hoạt động,75,-,,,,75.0,
(3),Tên công ty con > (3),(3),"Công ty Cổ phần Đầu tư Dầu khí Thăng Long (""Thăng Long Petrol"")",Kinh doanh BDS,Đang hoạt động,"99,9",-,,,,99.9,
(4),Tên công ty con > (4),(4),"Công ty Cổ phần Đầu tư Đất Viễn Đông (""Vidoland"")",Kinh doanh BDS,Đang hoạt động,"99,99","99,99",,,,99.99,99.99
(5),Tên công ty con > (5),(5),"Công ty TNHH Xây dựng Thương mại Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")",Kinh doanh BDS,Đang hoạt động,"99,89","99,89",,,,99.89,99.89
(6),Tên công ty con > (6),(6),"Công ty TNHH Đầu tư Xây dựng Thương mại Xuân Định (""Xuân Định"")",Kinh doanh BDS,Đang hoạt động,"99,99","99,99",,,,99.99,99.99
(7),Tên công ty con > (7),(7),"Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")",Kinh doanh BDS,Đang hoạt động,"99,9",-,,,,99.9,
(8),Tên công ty con > (8),(8),"Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"")",Kinh doanh và môi giới BDS,Đang hoạt động,55,55,,,,55.0,55.0
(9),Tên công ty con > (9),(9),"Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"")",Kinh doanh và môi giới BDS,Đang hoạt động,51,51,,,,51.0,51.0
(10),Tên công ty con > (10),(10),"Công ty Cổ phần In Nông Nghiệp (""In Nông Nghiệp"")",Kinh doanh BDS,Đang hoạt động,"99,98","99,98",,,,99.98,99.98
(11),Tên công ty con > (11),(11),"Công ty Cổ phần Bất động sản Sài Đồng (""Sài Đồng"")",Kinh doanh BDS,Đang hoạt động,"70,99",51,,,,70.99,51.0
(12),Tên công ty con > (12),(12),"Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"")",Kinh doanh BDS,Đang hoạt động,"99,99","99,99",,,,99.99,99.99
