row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,2.530.490.680.000,10.867.980.806,(580.000.000),27.151.657.159,676.747.251.369,3.244.677.569.334,2530490680000.0,10867980806.0,-580000000.0,27151657159.0,676747251369.0,3244677569334.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),471.436.180.000,-,-,-,(471.436.180.000),-,471436180000.0,,,,-471436180000.0,
Cổ tức đã công bố (**),Năm nay > Cổ tức đã công bố (**),Cổ tức đã công bố (**),-,-,-,-,(126.399.506.000),(126.399.506.000),,,,,-126399506000.0,-126399506000.0
Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động (*),Năm nay > Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động (*),Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động (*),30.000.000.000,-,-,-,(30.000.000.000),-,30000000000.0,,,,-30000000000.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,750.890.745.509,750.890.745.509,,,,,750890745509.0,750890745509.0
Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,Năm nay > Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,-,-,(1.920.560.000),-,1.920.560.000,-,,,-1920560000.0,,1920560000.0,
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,375.771.510,(375.771.510),-,,,,375771510.0,-375771510.0,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(36.229.978.314),(36.229.978.314),,,,,-36229978314.0,-36229978314.0
Giảm do thay đổi quyền sở hữu trong công ty con,Năm nay > Giảm do thay đổi quyền sở hữu trong công ty con,Giảm do thay đổi quyền sở hữu trong công ty con,-,-,-,-,(19.400.690.159),(19.400.690.159),,,,,-19400690159.0,-19400690159.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.031.926.860.000,10.867.980.806,(2.500.560.000),27.527.428.669,745.716.430.895,3.813.538.140.370,3031926860000.0,10867980806.0,-2500560000.0,27527428669.0,745716430895.0,3813538140370.0
